level_name,direction,horizon,target_pct,stop_pct,n,n_base,hit,base_hit,hit_lift,exp,base_exp,edge
poc,fade,1,0.005,0.005,116,273,0.2672413793103448,0.358974358974359,-0.09173297966401417,-0.0022413793103448275,-0.0013186813186813187,-0.0009226979916635088
poc,fade,1,0.005,0.01,116,273,0.41379310344827586,0.5238095238095238,-0.11001642036124798,-0.0020689655172413794,-0.0007875457875457879,-0.0012814197296955915
poc,fade,1,0.005,0.015,116,273,0.46551724137931033,0.5934065934065934,-0.12788935202728308,-0.000775862068965517,0.0007142857142857145,-0.0014901477832512315
poc,fade,1,0.005,0.02,116,273,0.5,0.6263736263736264,-0.12637362637362637,0.00025862068965517215,0.0017399267399267398,-0.0014813060502715677
poc,fade,1,0.005,0.03,116,273,0.5086206896551724,0.6446886446886447,-0.13606795503347235,0.0017672413793103448,0.0026739926739926738,-0.000906751294682329
poc,fade,1,0.01,0.005,116,273,0.1896551724137931,0.21611721611721613,-0.026462043703423033,-0.001681034482758621,-0.0009523809523809524,-0.0007286535303776685
poc,fade,1,0.01,0.01,116,273,0.2672413793103448,0.28205128205128205,-0.014809902740937242,-0.0014655172413793102,-0.0005860805860805862,-0.000879436655298724
poc,fade,1,0.01,0.015,116,273,0.29310344827586204,0.326007326007326,-0.03290387773146397,-0.00017241379310344794,0.0010073260073260074,-0.0011797398004294553
poc,fade,1,0.01,0.02,116,273,0.3017241379310345,0.336996336996337,-0.035272199065302545,0.0007758620689655174,0.001978021978021978,-0.0012021599090564607
poc,fade,1,0.01,0.03,116,273,0.3017241379310345,0.3443223443223443,-0.042598206391309845,0.0022413793103448275,0.002893772893772894,-0.0006523935834280665
poc,fade,1,0.015,0.005,116,273,0.09482758620689655,0.11721611721611722,-0.02238853100922067,-0.002155172413793104,-0.0013553113553113553,-0.0007998610584817485
poc,fade,1,0.015,0.01,116,273,0.12931034482758622,0.1575091575091575,-0.02819881268157129,-0.0021982758620689657,-0.001043956043956044,-0.0011543198181129216
poc,fade,1,0.015,0.015,116,273,0.12931034482758622,0.17582417582417584,-0.04651383099658962,-0.001163793103448276,0.00038461538461538456,-0.0015484084880636605
poc,fade,1,0.015,0.02,116,273,0.13793103448275862,0.1794871794871795,-0.04155614500442087,-0.00017241379310344843,0.0013003663003663003,-0.0014727800934697488
poc,fade,1,0.015,0.03,116,273,0.13793103448275862,0.1794871794871795,-0.04155614500442087,0.001293103448275862,0.0021428571428571425,-0.0008497536945812805
poc,fade,1,0.02,0.005,116,273,0.05172413793103448,0.06227106227106227,-0.01054692434002779,-0.0025431034482758623,-0.0018681318681318681,-0.0006749715801439942
poc,fade,1,0.02,0.01,116,273,0.06896551724137931,0.07326007326007326,-0.004294556018693954,-0.002758620689655172,-0.0019413919413919414,-0.0008172287482632308
poc,fade,1,0.02,0.015,116,273,0.06896551724137931,0.08058608058608059,-0.011620563344701282,-0.0017241379310344825,-0.000641025641025641,-0.0010831122900088414
poc,fade,1,0.02,0.02,116,273,0.07758620689655173,0.08058608058608059,-0.0029998736895288647,-0.0006896551724137933,0.00021978021978021978,-0.000909435392194013
poc,fade,1,0.02,0.03,116,273,0.07758620689655173,0.08058608058608059,-0.0029998736895288647,0.0007758620689655172,0.0010622710622710625,-0.0002864089933055453
poc,fade,1,0.03,0.005,116,273,0.017241379310344827,0.02197802197802198,-0.004736642667677152,-0.003060344827586207,-0.002454212454212454,-0.000606132373373753
poc,fade,1,0.03,0.01,116,273,0.034482758620689655,0.02564102564102564,0.008841732979664015,-0.003103448275862069,-0.002637362637362638,-0.00046608563849943104
poc,fade,1,0.03,0.015,116,273,0.034482758620689655,0.029304029304029304,0.005178729316660351,-0.0020689655172413794,-0.0013736263736263737,-0.0006953391436150056
poc,fade,1,0.03,0.02,116,273,0.04310344827586207,0.029304029304029304,0.013799418971832768,-0.0009482758620689656,-0.0005128205128205128,-0.0004354553492484528
poc,fade,1,0.03,0.03,116,273,0.04310344827586207,0.029304029304029304,0.013799418971832768,0.0005172413793103448,0.00032967032967032967,0.00018757104964001517
poc,momentum,1,0.005,0.005,116,273,0.46551724137931033,0.32967032967032966,0.13584691170898067,-0.00025862068965517215,-0.0016117216117216117,0.0013531009220664396
poc,momentum,1,0.005,0.01,116,273,0.603448275862069,0.4945054945054945,0.10894278135657443,0.0,-0.0009706959706959707,0.0009706959706959707
poc,momentum,1,0.005,0.015,116,273,0.6724137931034483,0.5604395604395604,0.11197423266388784,0.0012931034482758623,0.00010989010989010998,0.0011832133383857524
poc,momentum,1,0.005,0.02,116,273,0.6896551724137931,0.6043956043956044,0.08525956801818879,0.0018965517241379313,0.0014102564102564106,0.0004862953138815207
poc,momentum,1,0.005,0.03,116,273,0.6896551724137931,0.6153846153846154,0.07427055702917773,0.0021551724137931034,0.002197802197802198,-4.262978400909438e-05
poc,momentum,1,0.01,0.005,116,273,0.3103448275862069,0.21245421245421245,0.09789061513199446,0.0005172413793103448,-0.0011355311355311357,0.0016527725148414805
poc,momentum,1,0.01,0.01,116,273,0.3793103448275862,0.2783882783882784,0.10092206643930779,0.000775862068965517,-0.0006593406593406596,0.0014352027283061767
poc,momentum,1,0.01,0.015,116,273,0.4051724137931034,0.31868131868131866,0.08649109511178477,0.0019827586206896553,0.0004945054945054945,0.001488253126184161
poc,momentum,1,0.01,0.02,116,273,0.4051724137931034,0.3333333333333333,0.07183908045977011,0.0025000000000000005,0.0017216117216117216,0.0007783882783882789
poc,momentum,1,0.01,0.03,116,273,0.4051724137931034,0.336996336996337,0.0681760767967664,0.002758620689655173,0.002490842490842491,0.00026777819881268223
poc,momentum,1,0.015,0.005,116,273,0.15517241379310345,0.09157509157509157,0.06359732221801188,-0.00025862068965517215,-0.0018864468864468866,0.0016278261967917144
poc,momentum,1,0.015,0.01,116,273,0.19827586206896552,0.13186813186813187,0.06640773020083365,-4.310344827586259e-05,-0.0014652014652014652,0.0014220980169256025
poc,momentum,1,0.015,0.015,116,273,0.19827586206896552,0.14652014652014653,0.051755715548819,0.0009051724137931033,-0.0004945054945054945,0.0013996779082985978
poc,momentum,1,0.015,0.02,116,273,0.19827586206896552,0.15018315018315018,0.04809271188581535,0.0014224137931034481,0.000641025641025641,0.0007813881520778071
poc,momentum,1,0.015,0.03,116,273,0.19827586206896552,0.15018315018315018,0.04809271188581535,0.0016810344827586205,0.0013736263736263737,0.00030740810913224676
poc,momentum,1,0.02,0.005,116,273,0.09482758620689655,0.04395604395604396,0.05087154225085259,-0.000689655172413793,-0.002380952380952381,0.0016912972085385881
poc,momentum,1,0.02,0.01,116,273,0.11206896551724138,0.06227106227106227,0.04979790324617911,-0.0007758620689655174,-0.0021978021978021982,0.001421940128836681
poc,momentum,1,0.02,0.015,116,273,0.11206896551724138,0.0695970695970696,0.04247189592017178,0.00017241379310344843,-0.0013003663003663003,0.0014727800934697488
poc,momentum,1,0.02,0.02,116,273,0.11206896551724138,0.0695970695970696,0.04247189592017178,0.0006896551724137933,-0.00021978021978021978,0.000909435392194013
poc,momentum,1,0.02,0.03,116,273,0.11206896551724138,0.0695970695970696,0.04247189592017178,0.0009482758620689656,0.0005128205128205128,0.0004354553492484528
