ticker,session_date,entry_open,prior_close,prior_poc,prior_val,prior_vah,gap_pct,target_px,stop_px,outcome,exit_px,exit_date,bars_held,underlying_pnl,underlying_pct,status,symbol,expiry,strike,entry_opt,exit_opt,opt_pnl,opt_pnl_pct
SPY,2024-02-28,505.33,506.87,505.88,505.43,506.73,-0.0030382543847535274,505.88,503.78999999999996,target,505.88,2024-02-29,1,0.5500000000000114,0.0010883976807235102,ok,SPY240301C00505000,2024-03-01,505.0,2.5,3.05,54.999999999999986,0.21999999999999992
SPY,2024-03-05,510.24,512.25,512.38,512.23,513.02,-0.003923865300146395,512.38,508.23,target,512.38,2024-03-07,2,2.1399999999999864,0.004194104735026627,ok,SPY240308C00510000,2024-03-08,510.0,3.08,5.01,192.99999999999997,0.6266233766233765
JPM,2024-03-11,187.28,188.22,188.18,187.97,189.18,-0.004994155775156719,188.18,186.34,target,188.18,2024-03-12,1,0.9000000000000057,0.004805638615976109,ok,JPM240315C00187500,2024-03-15,187.5,1.5,2.81,131.0,0.8733333333333334
JPM,2024-03-15,186.48,188.05,189.23,187.83,189.98,-0.008348843392714817,189.23,184.90999999999997,target,189.23,2024-03-18,1,2.75,0.014746889746889747,ok,JPM240322C00185000,2024-03-22,185.0,5.25,6.99,174.00000000000003,0.33142857142857146
SPY,2024-03-15,510.21,514.95,514.27,513.52,515.12,-0.00920477716283147,514.27,505.4699999999999,target,514.27,2024-03-18,1,4.060000000000002,0.007957507692910768,ok,SPY240322C00510000,2024-03-22,510.0,4.14,6.28,214.00000000000006,0.5169082125603867
SPY,2024-04-02,518.24,522.22,521.98,521.18,522.62,-0.0076213090268469575,521.98,514.26,target,521.98,2024-04-04,2,3.740000000000009,0.007216733559740678,ok,SPY240405C00518000,2024-04-05,518.0,3.17,5.82,265.00000000000006,0.8359621451104102
JPM,2024-04-10,195.55,197.21,196.68,196.08,197.18,-0.008417423051569376,196.68,193.89000000000001,stop,193.89000000000001,2024-04-11,1,-1.6599999999999966,-0.008488877524929668,ok,JPM240412C00195000,2024-04-12,195.0,3.8,3.41,-38.99999999999997,-0.10263157894736834
SPY,2024-04-10,513.48,519.29,516.88,515.73,518.88,-0.011188353328583154,516.88,507.6700000000001,target,516.88,2024-04-11,1,3.3999999999999773,0.006621484770584983,ok,SPY240412C00513000,2024-04-12,513.0,3.58,3.47,-10.999999999999988,-0.030726256983240188
JPM,2024-04-12,188.32,195.3,196.08,194.53,196.43,-0.03573988735279067,196.08,181.33999999999997,stop,181.33999999999997,2024-04-16,2,-6.980000000000018,-0.03706457094307571,ok,JPM240419C00187500,2024-04-19,187.5,3.6,0.11,-349.0,-0.9694444444444444
SPY,2024-04-12,514.37,518.05,518.83,514.73,519.48,-0.007103561432294084,518.83,510.69000000000005,stop,510.69000000000005,2024-04-15,1,-3.67999999999995,-0.007154383031669712,ok,SPY240419C00514000,2024-04-19,514.0,5.26,3.17,-209.0,-0.3973384030418251
JPM,2024-04-24,190.53,192.14,191.68,191.38,191.93,-0.008379306755490711,191.68,188.92000000000002,target,191.68,2024-04-25,1,1.1500000000000057,0.006035794887944186,ok,JPM240426C00190000,2024-04-26,190.0,1.78,3.15,137.0,0.7696629213483145
SPY,2024-04-25,499.18,505.47,505.88,504.38,506.53,-0.012443864126456605,505.88,492.89,target,505.88,2024-04-26,1,6.699999999999989,0.01342201209984372,ok,SPY240426C00499000,2024-04-26,499.0,2.63,9.53,690.0,2.623574144486692
JPM,2024-05-08,191.0,191.77,191.83,191.72,192.53,-0.004015226573499558,191.83,190.23,target,191.83,2024-05-09,1,0.8300000000000125,0.004345549738219961,ok,JPM240510C00190000,2024-05-10,190.0,1.85,6.85,500.0,2.7027027027027026
SPY,2024-05-08,515.26,517.2,518.08,517.23,518.18,-0.0037509667440062924,518.08,513.3199999999999,target,518.08,2024-05-09,1,2.82000000000005,0.0054729651049956335,ok,SPY240510C00515000,2024-05-10,515.0,2.42,3.99,157.00000000000003,0.6487603305785126
