split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos,sum_edge
train,S3,poc,1.5,0.75,415,0.3349397590361446,0.6409638554216868,0.024096385542168676,0.021686746987951807,23,0.6521739130434783,0.717391304347826,-0.007585456407630265,-0.02943313953488372,0.02927220339558207,0.7468244438827097,0.7760966472782919
train,S3,poc,1.0,1.0,415,0.5228915662650603,0.46987951807228917,0.007228915662650603,0.05301204819277108,23,0.8260869565217391,0.6521739130434783,-0.014978875944181283,-0.014534883720930232,0.06799092413695236,0.6667087967644085,0.7346997209013609
train,S3,poc,1.0,0.75,415,0.4578313253012048,0.5373493975903615,0.004819277108433735,0.054819277108433734,23,0.782608695652174,0.6195652173913043,-0.016899244654973757,-0.03234011627906977,0.07171852176340748,0.6519053336703741,0.7236238554337815
train,S3,poc,1.0,1.5,415,0.5975903614457831,0.3855421686746988,0.016867469879518072,0.01927710843373494,23,0.8260869565217391,0.5652173913043478,-0.008449622327486878,-0.024709302325581394,0.02772673076122182,0.5899266936299292,0.617653424391151
train,S3,poc,0.75,1.0,415,0.5783132530120482,0.41686746987951806,0.004819277108433735,0.016867469879518072,23,0.8260869565217391,0.44565217391304346,-0.025220842401741134,-0.04469476744186047,0.042088312281259206,0.4903469413549039,0.5324352536361632
train,S3,poc,0.75,0.75,415,0.5036144578313253,0.4939759036144578,0.0024096385542168677,0.007228915662650603,23,0.782608695652174,0.42391304347826086,-0.025156830111381385,-0.05777616279069767,0.032385745774031985,0.48168920626895856,0.5140749520429906
train,S3,poc,1.0,0.5,415,0.3421686746987952,0.6578313253012048,0.0,0.01325301204819277,23,0.5652173913043478,0.34782608695652173,-0.016835232364614004,-0.04142441860465116,0.030088244412806775,0.3892505055611729,0.4193387499739797
train,S4,val,1.5,1.0,353,0.46175637393767704,0.5269121813031161,0.0113314447592068,0.16572237960339944,29,0.4827586206896552,0.2413793103448276,-0.0005761106132377416,-0.005087209302325582,0.16629849021663717,0.2464665196471532,0.4127650098637904
train,S3,poc,0.5,1.0,415,0.6698795180722892,0.3253012048192771,0.004819277108433735,0.00963855421686747,23,0.8260869565217391,0.2391304347826087,-0.035014722826782745,-0.03488372093023256,0.044653277043650214,0.27401415571284127,0.31866743275649145
train,S3,poc,0.5,0.75,415,0.5975903614457831,0.4,0.0024096385542168677,-0.0012048192771084338,23,0.782608695652174,0.22826086956521738,-0.03914351555498656,-0.043968023255813955,0.037938696277878124,0.27222889282103135,0.31016758909890946
train,S4,val,1.0,1.0,353,0.546742209631728,0.45042492917847027,0.0028328611898017,0.09631728045325778,29,0.5862068965517241,0.1724137931034483,-0.014978875944181283,-0.014534883720930232,0.11129615639743906,0.18694867682437852,0.2982448332218176
train,S3,prior_high,0.5,1.5,331,0.7583081570996979,0.24169184290030213,0.0,0.01661631419939577,26,0.8461538461538461,0.19230769230769232,-0.02202022788375368,-0.06540697674418605,0.038636542083149455,0.25771466905187834,0.2963512111350278
train,S4,val,1.5,1.5,353,0.5552407932011332,0.40509915014164305,0.039660056657223795,0.22521246458923513,29,0.4827586206896552,0.05172413793103448,0.0048009217769811804,-0.01308139534883721,0.22041154281225395,0.0648055332798717,0.28521707609212565
train,S3,poc,0.75,0.5,415,0.40240963855421685,0.5975903614457831,0.0,0.0030120481927710845,23,0.5652173913043478,0.20652173913043478,-0.02490078094994239,-0.043968023255813955,0.027912829142713473,0.25048976238624876,0.27840259152896224
train,S2,prior_close,0.5,1.0,145,0.6482758620689655,0.3448275862068966,0.006896551724137931,-0.020689655172413793,11,0.8181818181818182,0.22727272727272727,-0.035014722826782745,-0.03488372093023256,0.014325067654368952,0.2621564482029598,0.2764815158573288
train,S4,val,1.0,1.5,353,0.6685552407932012,0.32011331444759206,0.0113314447592068,0.18838526912181303,29,0.6206896551724138,0.05172413793103448,-0.008449622327486878,-0.024709302325581394,0.19683489144929991,0.07643344025661587,0.2732683317059158
train,S4,prior_low,1.5,0.75,291,0.3333333333333333,0.6632302405498282,0.003436426116838488,0.002577319587628866,33,0.42424242424242425,0.22727272727272727,-0.007585456407630265,-0.02943313953488372,0.010162775995259131,0.256705866807611,0.2668686428028701
train,S3,val,1.0,1.5,343,0.5918367346938775,0.3760932944606414,0.03206997084548105,0.027696793002915453,23,0.6521739130434783,0.1956521739130435,-0.008449622327486878,-0.024709302325581394,0.03614641533040233,0.22036147623862487,0.2565078915690272
train,S3,val,0.75,1.5,343,0.6472303206997084,0.3294460641399417,0.023323615160349854,-0.008746355685131196,23,0.7391304347826086,0.16304347826086957,-0.017379336832671875,-0.07739825581395349,0.008632981147540679,0.24044173407482305,0.24907471522236374
train,S3,val,0.3,1.5,343,0.8192419825072886,0.1749271137026239,0.0058309037900874635,-0.01661807580174928,23,0.9130434782608695,0.14347826086956522,-0.04075022404301628,-0.07194767441860465,0.024132148241267,0.2154259352881699,0.2395580835294369
train,S3,poc,0.5,1.5,415,0.7421686746987952,0.25060240963855424,0.007228915662650603,-0.004819277108433735,23,0.8260869565217391,0.15217391304347827,-0.02202022788375368,-0.06540697674418605,0.017200950775319947,0.21758088978766432,0.23478184056298426
train,S2,prior_close,0.5,1.5,145,0.7448275862068966,0.2413793103448276,0.013793103448275862,0.010344827586206896,11,0.8181818181818182,0.13636363636363635,-0.02202022788375368,-0.06540697674418605,0.032365055469960574,0.2017706131078224,0.23413566857778298
train,S3,val,0.5,1.5,343,0.7405247813411079,0.25072886297376096,0.008746355685131196,-0.0058309037900874635,23,0.8260869565217391,0.15217391304347827,-0.02202022788375368,-0.06540697674418605,0.01618932409366622,0.21758088978766432,0.23377021388133054
