split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S3,poc,0.3,1.0,23,0.8695652173913043,0.13043478260869565,0.0,0.13043478260869565
oos,S3,prior_close,0.3,1.0,32,0.75,0.25,0.0,-0.025000000000000022
oos,S3,prior_high,0.3,1.0,26,0.8846153846153846,0.11538461538461539,0.0,0.14999999999999997
oos,S3,prior_low,0.3,1.0,25,0.6,0.4,0.0,-0.22
oos,S3,vah,0.3,1.0,20,0.75,0.25,0.0,-0.025
oos,S3,val,0.3,1.0,23,0.6956521739130435,0.30434782608695654,0.0,-0.09565217391304348
oos,S4,poc,0.3,1.0,30,0.5666666666666667,0.43333333333333335,0.0,-0.26333333333333336
oos,S4,prior_close,0.3,1.0,31,0.6774193548387096,0.3225806451612903,0.0,-0.11935483870967742
oos,S4,prior_high,0.3,1.0,22,0.5,0.5,0.0,-0.35000000000000003
oos,S4,prior_low,0.3,1.0,33,0.7575757575757576,0.24242424242424243,0.0,-0.015151515151515152
oos,S4,vah,0.3,1.0,18,0.3888888888888889,0.6111111111111112,0.0,-0.49444444444444446
oos,S4,val,0.3,1.0,29,0.7931034482758621,0.20689655172413793,0.0,0.031034482758620672
oos,S1,poc,0.3,1.5,4,0.75,0.25,0.0,-0.15000000000000002
oos,S1,prior_close,0.3,1.5,6,1.0,0.0,0.0,0.3
oos,S1,prior_high,0.3,1.5,6,0.6666666666666666,0.3333333333333333,0.0,-0.3
oos,S1,prior_low,0.3,1.5,6,0.8333333333333334,0.16666666666666666,0.0,0.0
oos,S1,vah,0.3,1.5,2,0.5,0.5,0.0,-0.6
oos,S1,val,0.3,1.5,5,0.4,0.6,0.0,-0.78
oos,S2,poc,0.3,1.5,7,0.5714285714285714,0.42857142857142855,0.0,-0.4714285714285714
oos,S2,prior_close,0.3,1.5,11,0.8181818181818182,0.18181818181818182,0.0,-0.027272727272727296
oos,S2,prior_high,0.3,1.5,9,0.5555555555555556,0.4444444444444444,0.0,-0.5
oos,S2,prior_low,0.3,1.5,5,0.6,0.4,0.0,-0.42000000000000004
oos,S2,vah,0.3,1.5,4,0.75,0.25,0.0,-0.15000000000000002
oos,S2,val,0.3,1.5,4,0.75,0.25,0.0,-0.15000000000000002
oos,S3,poc,0.3,1.5,23,0.9565217391304348,0.043478260869565216,0.0,0.2217391304347826
oos,S3,prior_close,0.3,1.5,32,0.78125,0.21875,0.0,-0.09375
oos,S3,prior_high,0.3,1.5,26,0.9230769230769231,0.07692307692307693,0.0,0.16153846153846152
oos,S3,prior_low,0.3,1.5,25,0.76,0.24,0.0,-0.132
oos,S3,vah,0.3,1.5,20,0.8,0.2,0.0,-0.06000000000000001
oos,S3,val,0.3,1.5,23,0.9130434782608695,0.08695652173913043,0.0,0.14347826086956522
oos,S4,poc,0.3,1.5,30,0.6666666666666666,0.3333333333333333,0.0,-0.3
oos,S4,prior_close,0.3,1.5,31,0.7419354838709677,0.25806451612903225,0.0,-0.16451612903225807
oos,S4,prior_high,0.3,1.5,22,0.6363636363636364,0.36363636363636365,0.0,-0.35454545454545455
oos,S4,prior_low,0.3,1.5,33,0.8484848484848485,0.15151515151515152,0.0,0.027272727272727282
oos,S4,vah,0.3,1.5,18,0.6666666666666666,0.3333333333333333,0.0,-0.30000000000000004
oos,S4,val,0.3,1.5,29,0.7931034482758621,0.20689655172413793,0.0,-0.0724137931034483
oos,S1,poc,0.5,0.5,4,0.25,0.75,0.0,-0.25
oos,S1,prior_close,0.5,0.5,6,0.5,0.5,0.0,0.0
oos,S1,prior_high,0.5,0.5,6,0.3333333333333333,0.6666666666666666,0.0,-0.16666666666666666
oos,S1,prior_low,0.5,0.5,6,0.5,0.5,0.0,0.0
oos,S1,vah,0.5,0.5,2,0.5,0.5,0.0,0.0
oos,S1,val,0.5,0.5,5,0.0,1.0,0.0,-0.5
oos,S2,poc,0.5,0.5,7,0.5714285714285714,0.42857142857142855,0.0,0.07142857142857142
oos,S2,prior_close,0.5,0.5,11,0.6363636363636364,0.36363636363636365,0.0,0.13636363636363635
oos,S2,prior_high,0.5,0.5,9,0.4444444444444444,0.5555555555555556,0.0,-0.05555555555555555
oos,S2,prior_low,0.5,0.5,5,0.2,0.8,0.0,-0.3
oos,S2,vah,0.5,0.5,4,0.75,0.25,0.0,0.25
oos,S2,val,0.5,0.5,4,0.5,0.5,0.0,0.0
oos,S3,poc,0.5,0.5,23,0.5652173913043478,0.43478260869565216,0.0,0.06521739130434782
oos,S3,prior_close,0.5,0.5,32,0.46875,0.53125,0.0,-0.03125
oos,S3,prior_high,0.5,0.5,26,0.5769230769230769,0.4230769230769231,0.0,0.07692307692307693
oos,S3,prior_low,0.5,0.5,25,0.56,0.44,0.0,0.06
oos,S3,vah,0.5,0.5,20,0.5,0.5,0.0,0.0
oos,S3,val,0.5,0.5,23,0.5217391304347826,0.4782608695652174,0.0,0.021739130434782608
oos,S4,poc,0.5,0.5,30,0.3,0.7,0.0,-0.2
oos,S4,prior_close,0.5,0.5,31,0.3225806451612903,0.6774193548387096,0.0,-0.1774193548387097
oos,S4,prior_high,0.5,0.5,22,0.2727272727272727,0.7272727272727273,0.0,-0.22727272727272727
