split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,S1,poc,0.3,0.5,159,0.4779874213836478,0.5220125786163522,0.0,-0.11761006289308176,4,0.25,-0.3,-0.09083344002048394,-0.09069767441860466,-0.026776622872597827,-0.20930232558139533
train,S1,prior_close,0.3,0.5,185,0.4648648648648649,0.5351351351351351,0.0,-0.1281081081081081,6,0.5,-0.10000000000000002,-0.09083344002048394,-0.09069767441860466,-0.03727466808762417,-0.009302325581395363
train,S1,prior_high,0.3,0.5,116,0.5086206896551724,0.49137931034482757,0.0,-0.09310344827586207,6,0.3333333333333333,-0.2333333333333333,-0.09083344002048394,-0.09069767441860466,-0.0022700082553781392,-0.14263565891472865
train,S1,prior_low,0.3,0.5,95,0.43157894736842106,0.5684210526315789,0.0,-0.15473684210526317,6,0.5,-0.10000000000000002,-0.09083344002048394,-0.09069767441860466,-0.06390340208477924,-0.009302325581395363
train,S1,vah,0.3,0.5,183,0.48633879781420764,0.5136612021857924,0.0,-0.11092896174863388,2,0.5,-0.1,-0.09083344002048394,-0.09069767441860466,-0.020095521728149948,-0.009302325581395349
train,S1,val,0.3,0.5,138,0.5144927536231884,0.4855072463768116,0.0,-0.08840579710144927,5,0.0,-0.5,-0.09083344002048394,-0.09069767441860466,0.0024276429190346616,-0.40930232558139534
train,S2,poc,0.3,0.5,129,0.4883720930232558,0.5116279069767442,0.0,-0.10930232558139535,7,0.5714285714285714,-0.042857142857142864,-0.09083344002048394,-0.09069767441860466,-0.01846888556091142,0.04784053156146179
train,S2,prior_close,0.3,0.5,145,0.5241379310344828,0.47586206896551725,0.0,-0.08068965517241379,11,0.6363636363636364,0.0090909090909091,-0.09083344002048394,-0.09069767441860466,0.010143784848070145,0.09978858350951375
train,S2,prior_high,0.3,0.5,99,0.46464646464646464,0.5353535353535354,0.0,-0.1282828282828283,9,0.4444444444444444,-0.14444444444444446,-0.09083344002048394,-0.09069767441860466,-0.03744938826234437,-0.0537467700258398
train,S2,prior_low,0.3,0.5,88,0.5795454545454546,0.42045454545454547,0.0,-0.036363636363636376,5,0.2,-0.33999999999999997,-0.09083344002048394,-0.09069767441860466,0.05446980365684756,-0.2493023255813953
