ticker,level_name,confluence,direction,target,stop,n,n_base,hit,base_hit,hit_lift,expectancy,base_exp,edge
SPY,ALL,all,momentum,1.0,1.5,1906,8223,0.22822665267576075,0.17730755198832543,0.050919100687435326,0.08971668415529906,0.06566946369937979,0.02404722045591927
SPY,ALL,confluence_true,momentum,1.0,1.5,392,8223,0.21173469387755103,0.17730755198832543,0.034427141889225604,0.0625,0.06566946369937979,-0.0031694636993797876
SPY,ALL,confluence_false,momentum,1.0,1.5,1514,8223,0.23249669749009247,0.17730755198832543,0.05518914550176704,0.09676354029062087,0.06566946369937979,0.031094076591241082
SPY,poc,all,momentum,1.0,1.5,346,8223,0.23410404624277456,0.17730755198832543,0.05679649425444913,0.10404624277456648,0.06566946369937979,0.03837677907518669
SPY,poc,confluence_true,momentum,1.0,1.5,71,8223,0.18309859154929578,0.17730755198832543,0.005791039560970351,0.056338028169014086,0.06566946369937979,-0.009331435530365702
SPY,poc,confluence_false,momentum,1.0,1.5,275,8223,0.24727272727272728,0.17730755198832543,0.06996517528440185,0.11636363636363636,0.06566946369937979,0.050694172664256576
SPY,vah,all,momentum,1.0,1.5,359,8223,0.16991643454038996,0.17730755198832543,-0.007391117447935469,0.002785515320334262,0.06566946369937979,-0.06288394837904553
SPY,vah,confluence_true,momentum,1.0,1.5,78,8223,0.16666666666666666,0.17730755198832543,-0.010640885321658772,-0.00641025641025641,0.06566946369937979,-0.0720797201096362
SPY,vah,confluence_false,momentum,1.0,1.5,281,8223,0.1708185053380783,0.17730755198832543,-0.006489046650247132,0.005338078291814947,0.06566946369937979,-0.060331385407564844
SPY,val,all,momentum,1.0,1.5,283,8223,0.2791519434628975,0.17730755198832543,0.10184439147457208,0.13604240282685512,0.06566946369937979,0.07037293912747533
SPY,val,confluence_true,momentum,1.0,1.5,52,8223,0.28846153846153844,0.17730755198832543,0.111153986473213,0.08653846153846154,0.06566946369937979,0.02086899783908175
SPY,val,confluence_false,momentum,1.0,1.5,231,8223,0.27705627705627706,0.17730755198832543,0.09974872506795163,0.1471861471861472,0.06566946369937979,0.08151668348676741
SPY,prior_high,all,momentum,1.0,1.5,295,8223,0.2,0.17730755198832543,0.022692448011674582,0.10338983050847457,0.06566946369937979,0.03772036680909478
SPY,prior_high,confluence_true,momentum,1.0,1.5,64,8223,0.1875,0.17730755198832543,0.01019244801167457,0.1171875,0.06566946369937979,0.05151803630062021
SPY,prior_high,confluence_false,momentum,1.0,1.5,231,8223,0.20346320346320346,0.17730755198832543,0.026155651474878028,0.09956709956709957,0.06566946369937979,0.03389763586771978
SPY,prior_low,all,momentum,1.0,1.5,223,8223,0.26905829596412556,0.17730755198832543,0.09175074397580013,0.10762331838565023,0.06566946369937979,0.04195385468627044
SPY,prior_low,confluence_true,momentum,1.0,1.5,46,8223,0.2826086956521739,0.17730755198832543,0.10530114366384846,0.05434782608695652,0.06566946369937979,-0.011321637612423267
SPY,prior_low,confluence_false,momentum,1.0,1.5,177,8223,0.2655367231638418,0.17730755198832543,0.08822917117551637,0.12146892655367232,0.06566946369937979,0.055799462854292534
SPY,prior_close,all,momentum,1.0,1.5,400,8223,0.2375,0.17730755198832543,0.06019244801167456,0.1025,0.06566946369937979,0.036830536300620206
SPY,prior_close,confluence_true,momentum,1.0,1.5,81,8223,0.20987654320987653,0.17730755198832543,0.0325689912215511,0.08024691358024691,0.06566946369937979,0.014577449880867122
SPY,prior_close,confluence_false,momentum,1.0,1.5,319,8223,0.2445141065830721,0.17730755198832543,0.06720655459474667,0.10815047021943573,0.06566946369937979,0.042481006520055944
SPY,ALL,all,momentum,0.75,1.0,1906,8223,0.31584470094438616,0.2697312416393044,0.04611345930508176,0.04223504721930745,0.04481332846892862,-0.0025782812496211657
SPY,ALL,confluence_true,momentum,0.75,1.0,392,8223,0.30357142857142855,0.2697312416393044,0.03384018693212415,0.03125,0.04481332846892862,-0.013563328468928618
SPY,ALL,confluence_false,momentum,0.75,1.0,1514,8223,0.3190224570673712,0.2697312416393044,0.049291215428066804,0.045079260237780715,0.04481332846892862,0.00026593176885209707
SPY,poc,all,momentum,0.75,1.0,346,8223,0.3236994219653179,0.2697312416393044,0.053968180326013526,0.06647398843930635,0.04481332846892862,0.021660659970377735
SPY,poc,confluence_true,momentum,0.75,1.0,71,8223,0.28169014084507044,0.2697312416393044,0.011958899205766038,0.014084507042253521,0.04481332846892862,-0.030728821426675094
SPY,poc,confluence_false,momentum,0.75,1.0,275,8223,0.33454545454545453,0.2697312416393044,0.06481421290615014,0.08,0.04481332846892862,0.035186671531071384
SPY,vah,all,momentum,0.75,1.0,359,8223,0.2646239554317549,0.2697312416393044,-0.005107286207549522,0.003481894150417827,0.04481332846892862,-0.04133143431851079
