level_name,time_bucket,minute,from_below,mfe_pct,mae_pct,close_ret_pct,bar_vol,bar_bp
poc,30_60m,606,False,0.1522549482858151,0.24675801963563757,0.1260040951330966,447080.0,0.42307692307688105
vah,30_60m,604,False,0.11509139147852362,0.37647206870876865,-0.04876309525057379,294766.0,0.13464052287579353
close,30_60m,606,False,0.1522549482858151,0.24675801963563757,0.1260040951330966,447080.0,0.42307692307688105
val,open_30m,571,False,0.052490682903796514,0.5301558973282194,-0.5196840060889174,380655.0,0.14814814814815336
low,open_30m,578,False,0.06577562618396127,0.3130919806356551,-0.12628920227319548,579448.0,0.39062499999997363
poc,open_30m,586,False,0.5853645703160879,0.08550269004618341,0.42711882243063853,460248.0,0.9492753623188865
vah,open_30m,582,False,0.1996007984031912,0.3440487446160317,-0.026263262947779677,525538.0,0.23602484472049207
high,open_30m,571,False,0.4539211197592928,0.7260121656092704,-0.5546471319249145,396873.0,0.7545454545454762
close,open_30m,586,False,0.5853645703160879,0.08550269004618341,0.42711882243063853,460248.0,0.9492753623188865
poc,close_90m,931,False,0.11852920714268246,0.07472493493776279,-0.012883609472017969,449815.0,0.21428571428569979
vah,close_90m,898,False,0.012847855692887778,0.16445255286893726,-0.13814014440989736,273438.0,0.031249999999972244
high,close_90m,898,False,0.012847855692887778,0.16445255286893726,-0.13814014440989736,273438.0,0.031249999999972244
close,close_90m,931,False,0.11852920714268246,0.07472493493776279,-0.012883609472017969,449815.0,0.21428571428569979
poc,open_30m,572,True,0.33481734871822344,0.20064327355911138,0.22669549229683655,301797.0,0.9242307692307655
val,open_30m,570,True,0.036129964644245366,0.4490438462928099,-0.21936049962578802,487991.0,0.4078205589540878
low,open_30m,570,True,0.036129964644245366,0.4490438462928099,-0.21936049962578802,487991.0,0.4078205589540878
close,open_30m,570,True,0.036129964644245366,0.4490438462928099,-0.21936049962578802,487991.0,0.4078205589540878
poc,open_30m,581,False,0.03549695740366207,0.5020283975659131,-0.35243407707910407,341836.0,0.30120481927706855
vah,open_30m,574,False,0.11849001189962803,0.562068005164956,-0.559536167303855,437842.0,0.0
val,open_30m,594,False,0.6060297412915041,0.05113057649216113,0.4328783866367866,397213.0,0.6666666666667088
high,open_30m,572,False,0.04045409724154257,0.6548506990973616,-0.551187074915933,426068.0,0.058139534883733225
close,open_30m,572,False,0.04045409724154257,0.6548506990973616,-0.551187074915933,426068.0,0.058139534883733225
poc,60_150m,630,True,0.18155227192495096,0.003782338998447527,0.06303898330727722,323268.0,0.4374999999999667
vah,close_90m,904,True,0.05277310079661737,0.055286105596454256,-0.008795516799429087,113540.0,0.984848484848413
val,30_60m,600,True,0.08097575788248221,0.22521382661065498,-0.19737840983854765,753457.0,0.5629139072847866
high,close_90m,935,True,0.07527097551184549,0.13548775592132187,0.05216278602970571,685680.0,0.9545454545454898
close,midday,783,True,0.17385169694373698,0.0012597949053882568,0.12094031091737292,86752.0,0.8083067092649796
poc,open_30m,580,False,0.33184172155464076,0.005027904872035248,0.2564231484740406,189082.0,0.36363636363629315
vah,open_30m,594,True,0.15289370128080146,0.28322931548737884,-0.19299696719051102,194625.0,0.33333333333352766
high,open_30m,594,True,0.15289370128080146,0.28322931548737884,-0.19299696719051102,194625.0,0.33333333333352766
close,open_30m,570,False,0.07273274478329746,0.27588282504013406,-0.04263643659711474,565245.0,0.5010020040080493
poc,60_150m,639,False,0.07032702064601135,0.3039131963630832,-0.29888983774551614,271420.0,0.45852438516047506
vah,open_30m,572,False,0.25459334044020476,0.06897849125228171,0.04319307706778084,291336.0,0.00877192982455353
val,60_150m,643,False,0.0761610218500974,0.30927057403634844,-0.12571974554323503,367583.0,0.27058823529403425
low,60_150m,654,False,0.11714321702986064,0.25192089683839275,-0.17004660536591795,232105.0,0.051282051282006434
close,60_150m,643,False,0.0761610218500974,0.30927057403634844,-0.12571974554323503,367583.0,0.27058823529403425
poc,open_30m,573,False,0.19024603439852744,0.15168264904749257,0.14654086433400856,265869.0,0.2866013852400387
vah,30_60m,605,True,0.08267129243214859,0.15373375179802143,-0.0012557015899541193,234820.0,0.7323214285714255
