session_date,level_name,level,touched,first_touch_bar,first_touch_minute
2023-02-06,val,411.57,False,,
2023-02-06,high,416.97,False,,
2023-02-06,low,411.09,True,117.0,687.0
2023-02-06,close,412.36,False,,
2023-02-07,poc,409.93,True,99.0,669.0
2023-02-07,vah,410.53,True,124.0,694.0
2023-02-07,val,409.48,True,10.0,580.0
2023-02-07,high,411.29,True,191.0,761.0
2023-02-07,low,408.1,True,242.0,812.0
2023-02-07,close,409.9,True,98.0,668.0
2023-02-08,poc,408.93,False,,
2023-02-08,vah,413.73,True,7.0,577.0
2023-02-08,val,407.73,False,,
2023-02-08,high,416.49,False,,
2023-02-08,low,407.57,False,,
2023-02-08,close,415.18,False,,
2023-02-09,poc,410.73,True,182.0,752.0
2023-02-09,vah,412.23,True,57.0,627.0
2023-02-09,val,410.33,True,184.0,754.0
2023-02-09,high,414.53,True,0.0,570.0
2023-02-09,low,409.93,True,187.0,757.0
2023-02-09,close,410.66,True,182.0,752.0
2023-02-10,poc,407.07,True,40.0,610.0
2023-02-10,vah,411.57,False,,
2023-02-10,val,405.82,True,0.0,570.0
2023-02-10,high,414.57,False,,
2023-02-10,low,405.81,True,0.0,570.0
2023-02-10,close,407.13,True,40.0,610.0
2023-02-13,poc,406.88,False,,
2023-02-13,vah,407.68,False,,
2023-02-13,val,406.12,False,,
2023-02-13,high,408.44,True,1.0,571.0
2023-02-13,low,405.01,False,,
2023-02-13,close,408.03,False,,
2023-02-14,poc,412.43,True,17.0,587.0
2023-02-14,vah,412.78,True,25.0,595.0
2023-02-14,val,411.43,True,0.0,570.0
2023-02-14,high,412.97,True,25.0,595.0
2023-02-14,low,408.24,False,,
2023-02-14,close,412.82,True,25.0,595.0
2023-02-15,poc,413.38,True,279.0,849.0
2023-02-15,vah,413.62,True,387.0,957.0
2023-02-15,val,410.52,True,0.0,570.0
2023-02-15,high,415.05,False,,
2023-02-15,low,408.511,False,,
2023-02-15,close,412.67,True,138.0,708.0
2023-02-16,poc,412.93,True,195.0,765.0
2023-02-16,vah,413.68,False,,
2023-02-16,val,411.23,True,68.0,638.0
2023-02-16,high,414.0,False,,
2023-02-16,low,409.47,True,1.0,571.0
2023-02-16,close,413.99,False,,
2023-02-17,poc,408.98,False,,
2023-02-17,vah,411.48,False,,
2023-02-17,val,408.12,False,,
2023-02-17,high,412.91,False,,
2023-02-17,low,408.14,False,,
2023-02-17,close,408.33,False,,
2023-02-21,poc,405.18,False,,
2023-02-21,vah,406.53,False,,
2023-02-21,val,404.38,False,,
2023-02-21,high,407.51,False,,
2023-02-21,low,404.05,True,12.0,582.0
2023-02-21,close,407.24,False,,
2023-02-22,poc,399.62,True,0.0,570.0
2023-02-22,vah,401.38,False,,
2023-02-22,val,398.88,True,40.0,610.0
2023-02-22,high,404.16,False,,
2023-02-22,low,398.82,True,40.0,610.0
2023-02-22,close,399.13,True,32.0,602.0
2023-02-23,poc,397.98,True,112.0,682.0
2023-02-23,vah,399.68,True,77.0,647.0
2023-02-23,val,397.32,True,131.0,701.0
2023-02-23,high,401.13,True,2.0,572.0
2023-02-23,low,397.02,True,133.0,703.0
2023-02-23,close,398.58,True,98.0,668.0
2023-02-24,poc,400.93,False,,
2023-02-24,vah,402.18,False,,
2023-02-24,val,398.23,False,,
2023-02-24,high,402.2,False,,
2023-02-24,low,396.25,True,9.0,579.0
2023-02-24,close,400.65,False,,
2023-02-27,poc,395.53,False,,
2023-02-27,vah,396.53,False,,
2023-02-27,val,394.68,False,,
2023-02-27,high,397.25,True,346.0,916.0
2023-02-27,low,393.64,False,,
2023-02-27,close,396.39,False,,
2023-02-28,poc,397.57,True,11.0,581.0
2023-02-28,vah,399.43,False,,
2023-02-28,val,397.23,True,0.0,570.0
2023-02-28,high,401.29,False,,
2023-02-28,low,396.75,True,3.0,573.0
2023-02-28,close,397.73,True,15.0,585.0
2023-03-01,poc,397.08,False,,
2023-03-01,vah,398.08,False,,
2023-03-01,val,396.63,True,19.0,589.0
2023-03-01,high,399.28,False,,
2023-03-01,low,396.18,True,17.0,587.0
2023-03-01,close,396.2,True,17.0,587.0
2023-03-02,poc,394.58,True,92.0,662.0
2023-03-02,vah,395.68,True,246.0,816.0
2023-03-02,val,393.93,True,32.0,602.0
2023-03-02,high,396.69,True,270.0,840.0
2023-03-02,low,393.38,True,21.0,591.0
2023-03-02,close,394.78,True,245.0,815.0
2023-03-03,poc,394.32,False,,
2023-03-03,vah,396.78,False,,
2023-03-03,val,392.38,False,,
2023-03-03,high,398.69,False,,
2023-03-03,low,392.33,False,,
2023-03-03,close,397.79,False,,
2023-03-06,poc,403.77,False,,
2023-03-06,vah,404.43,True,334.0,904.0
2023-03-06,val,401.02,False,,
2023-03-06,high,404.45,True,334.0,904.0
2023-03-06,low,399.03,False,,
2023-03-06,close,404.14,True,353.0,923.0
2023-03-07,poc,404.62,True,8.0,578.0
2023-03-07,vah,406.38,False,,
2023-03-07,val,404.12,True,2.0,572.0
2023-03-07,high,407.45,False,,
2023-03-07,low,404.03,True,15.0,585.0
2023-03-07,close,404.46,True,0.0,570.0
2023-03-08,poc,398.28,True,4.0,574.0
2023-03-08,vah,401.03,False,,
2023-03-08,val,397.68,True,30.0,600.0
2023-03-08,high,404.67,False,,
2023-03-08,low,397.625,True,30.0,600.0
2023-03-08,close,398.26,True,5.0,575.0
2023-03-09,poc,398.82,True,151.0,721.0
2023-03-09,vah,399.12,True,126.0,696.0
2023-03-09,val,397.48,True,221.0,791.0
2023-03-09,high,399.71,True,0.0,570.0
2023-03-09,low,396.59,True,235.0,805.0
2023-03-09,close,398.92,True,151.0,721.0
2023-03-10,poc,391.68,True,111.0,681.0
2023-03-10,vah,398.52,False,,
2023-03-10,val,390.52,True,0.0,570.0
2023-03-10,high,401.48,False,,
2023-03-10,low,390.53,True,0.0,570.0
2023-03-10,close,391.59,True,100.0,670.0
2023-03-13,poc,388.82,True,92.0,662.0
2023-03-13,vah,391.12,False,,
2023-03-13,val,386.03,True,28.0,598.0
2023-03-13,high,393.16,False,,
2023-03-13,low,384.32,True,19.0,589.0
2023-03-13,close,385.92,True,27.0,597.0
2023-03-14,poc,388.18,True,277.0,847.0
2023-03-14,vah,389.03,True,226.0,796.0
2023-03-14,val,385.28,False,,
2023-03-14,high,390.39,True,0.0,570.0
2023-03-14,low,380.65,False,,
2023-03-14,close,385.29,False,,
2023-03-15,poc,391.68,False,,
2023-03-15,vah,393.23,False,,
2023-03-15,val,389.82,False,,
2023-03-15,high,393.45,False,,
2023-03-15,low,387.05,True,4.0,574.0
2023-03-15,close,391.69,False,,
2023-03-16,poc,386.08,False,,
2023-03-16,vah,387.83,True,10.0,580.0
2023-03-16,val,384.53,False,,
2023-03-16,high,389.49,True,77.0,647.0
2023-03-16,low,383.71,False,,
2023-03-16,close,389.35,True,71.0,641.0
2023-03-17,poc,395.62,False,,
2023-03-17,vah,396.43,False,,
2023-03-17,val,392.02,True,49.0,619.0
2023-03-17,high,396.47,False,,
2023-03-17,low,386.29,False,,
2023-03-17,close,396.03,False,,
2023-03-20,poc,389.88,False,,
2023-03-20,vah,390.98,True,0.0,570.0
2023-03-20,val,389.28,False,,
2023-03-20,high,394.4,False,,
2023-03-20,low,388.55,False,,
2023-03-20,close,390.11,True,6.0,576.0
2023-03-21,poc,393.48,False,,
2023-03-21,vah,393.68,False,,
2023-03-21,val,391.98,False,,
2023-03-21,high,394.17,False,,
2023-03-21,low,390.07,False,,
2023-03-21,close,393.66,False,,
2023-03-22,poc,396.38,True,338.0,908.0
2023-03-22,vah,398.18,True,2.0,572.0
2023-03-22,val,396.07,True,338.0,908.0
2023-03-22,high,399.41,True,58.0,628.0
2023-03-22,low,395.58,True,375.0,945.0
2023-03-22,close,398.87,True,0.0,570.0
2023-03-23,poc,398.38,True,83.0,653.0
2023-03-23,vah,400.43,False,,
2023-03-23,val,396.62,True,32.0,602.0
2023-03-23,high,402.49,False,,
2023-03-23,low,392.07,True,310.0,880.0
2023-03-23,close,392.14,True,310.0,880.0
2023-03-24,poc,393.88,True,151.0,721.0
2023-03-24,vah,396.62,False,,
2023-03-24,val,391.03,True,2.0,572.0
2023-03-24,high,399.29,False,,
2023-03-24,low,390.35,True,11.0,581.0
2023-03-24,close,393.11,True,136.0,706.0
2023-03-27,poc,391.38,False,,
2023-03-27,vah,394.48,False,,
2023-03-27,val,390.38,False,,
2023-03-27,high,395.84,True,109.0,679.0
2023-03-27,low,389.4,False,,
2023-03-27,close,395.72,True,146.0,716.0
2023-03-28,poc,396.48,True,47.0,617.0
2023-03-28,vah,397.68,False,,
2023-03-28,val,396.07,True,25.0,595.0
2023-03-28,high,398.92,False,,
2023-03-28,low,395.56,True,0.0,570.0
2023-03-28,close,396.45,True,41.0,611.0
2023-03-29,poc,395.48,False,,
2023-03-29,vah,395.93,False,,
2023-03-29,val,394.73,False,,
2023-03-29,high,396.49,False,,
2023-03-29,low,393.69,False,,
2023-03-29,close,395.65,False,,
2023-03-30,poc,399.63,False,,
2023-03-30,vah,400.58,False,,
2023-03-30,val,398.88,False,,
2023-03-30,high,401.6,False,,
2023-03-30,low,398.68,False,,
2023-03-30,close,401.34,False,,
2023-03-31,poc,403.62,False,,
2023-03-31,vah,404.02,False,,
2023-03-31,val,403.02,False,,
2023-03-31,high,404.35,False,,
2023-03-31,low,401.76,False,,
2023-03-31,close,403.7,False,,
2023-04-03,poc,407.23,False,,
2023-04-03,vah,408.18,False,,
2023-04-03,val,404.57,False,,
2023-04-03,high,409.7,True,6.0,576.0
2023-04-03,low,404.55,False,,
2023-04-03,close,409.36,True,3.0,573.0
2023-04-04,poc,409.23,True,92.0,662.0
2023-04-04,vah,410.58,True,14.0,584.0
2023-04-04,val,408.83,True,99.0,669.0
2023-04-04,high,411.37,True,0.0,570.0
2023-04-04,low,408.44,True,108.0,678.0
2023-04-04,close,410.93,True,10.0,580.0
2023-04-05,poc,408.28,True,1.0,571.0
2023-04-05,vah,409.83,False,,
2023-04-05,val,407.38,True,36.0,606.0
2023-04-05,high,411.92,False,,
2023-04-05,low,407.24,True,43.0,613.0
2023-04-05,close,408.7,True,30.0,600.0
2023-04-06,poc,407.38,True,111.0,681.0
2023-04-06,vah,407.78,True,133.0,703.0
2023-04-06,val,406.53,True,1.0,571.0
2023-04-06,high,408.7,True,180.0,750.0
2023-04-06,low,405.88,True,8.0,578.0
2023-04-06,close,407.65,True,128.0,698.0
2023-04-10,poc,408.93,True,259.0,829.0
2023-04-10,vah,409.43,True,389.0,959.0
2023-04-10,val,407.03,True,42.0,612.0
2023-04-10,high,409.48,True,389.0,959.0
2023-04-10,low,405.678,False,,
2023-04-10,close,409.2,True,330.0,900.0
2023-04-11,poc,408.78,False,,
2023-04-11,vah,409.68,True,1.0,571.0
2023-04-11,val,406.88,False,,
2023-04-11,high,409.69,True,1.0,571.0
2023-04-11,low,405.97,False,,
2023-04-11,close,409.66,True,1.0,571.0
2023-04-12,poc,409.53,True,85.0,655.0
2023-04-12,vah,410.53,True,16.0,586.0
2023-04-12,val,409.33,True,85.0,655.0
2023-04-12,high,411.18,True,11.0,581.0
2023-04-12,low,408.92,True,94.0,664.0
2023-04-12,close,409.71,True,68.0,638.0
2023-04-13,poc,407.83,False,,
2023-04-13,vah,410.73,True,47.0,617.0
2023-04-13,val,407.43,False,,
2023-04-13,high,412.17,True,231.0,801.0
2023-04-13,low,407.44,False,,
2023-04-13,close,408.07,True,333.0,903.0
2023-04-14,poc,413.38,True,5.0,575.0
2023-04-14,vah,413.83,True,7.0,577.0
2023-04-14,val,410.73,True,189.0,759.0
2023-04-14,high,413.84,True,8.0,578.0
2023-04-14,low,407.9922,False,,
2023-04-14,close,413.445,True,5.0,575.0
2023-04-17,poc,412.48,True,0.0,570.0
2023-04-17,vah,412.68,True,5.0,575.0
2023-04-17,val,410.73,False,,
2023-04-17,high,415.09,False,,
2023-04-17,low,410.06,False,,
2023-04-17,close,412.49,True,0.0,570.0
2023-04-18,poc,413.07,True,60.0,630.0
2023-04-18,vah,413.48,True,55.0,625.0
2023-04-18,val,411.73,False,,
2023-04-18,high,413.96,True,34.0,604.0
2023-04-18,low,411.085,False,,
2023-04-18,close,413.94,True,34.0,604.0
2023-04-19,poc,414.18,True,183.0,753.0
2023-04-19,vah,414.48,True,217.0,787.0
2023-04-19,val,413.43,True,70.0,640.0
2023-04-19,high,415.72,False,,
2023-04-19,low,412.7802,True,3.0,573.0
2023-04-19,close,414.22,True,184.0,754.0
2023-04-20,poc,414.33,False,,
2023-04-20,vah,414.63,False,,
2023-04-20,val,413.18,True,186.0,756.0
2023-04-20,high,415.08,False,,
2023-04-20,low,412.16,True,15.0,585.0
2023-04-20,close,414.21,False,,
2023-04-21,poc,412.38,True,56.0,626.0
2023-04-21,vah,413.12,False,,
2023-04-21,val,411.07,True,26.0,596.0
2023-04-21,high,413.7,False,,
2023-04-21,low,410.27,True,75.0,645.0
2023-04-21,close,411.88,True,0.0,570.0
2023-04-24,poc,411.88,True,68.0,638.0
2023-04-24,vah,412.28,True,0.0,570.0
2023-04-24,val,411.38,True,73.0,643.0
2023-04-24,high,412.68,True,1.0,571.0
2023-04-24,low,410.17,False,,
2023-04-24,close,412.18,True,0.0,570.0
2023-04-25,poc,412.43,False,,
2023-04-25,vah,412.62,False,,
2023-04-25,val,411.53,False,,
2023-04-25,high,413.07,False,,
2023-04-25,low,410.6,True,0.0,570.0
2023-04-25,close,412.63,False,,
2023-04-26,poc,406.27,True,27.0,597.0
2023-04-26,vah,409.27,False,,
2023-04-26,val,406.02,True,45.0,615.0
2023-04-26,high,411.16,False,,
2023-04-26,low,406.02,True,45.0,615.0
2023-04-26,close,406.12,True,44.0,614.0
2023-04-27,poc,404.02,False,,
2023-04-27,vah,406.62,False,,
2023-04-27,val,403.88,False,,
2023-04-27,high,407.84,True,25.0,595.0
2023-04-27,low,403.78,False,,
2023-04-27,close,404.37,False,,
2023-04-28,poc,412.33,True,5.0,575.0
2023-04-28,vah,412.68,True,16.0,586.0
2023-04-28,val,408.63,False,,
2023-04-28,high,412.69,True,17.0,587.0
2023-04-28,low,406.74,False,,
2023-04-28,close,412.4,True,9.0,579.0
2023-05-01,poc,415.08,False,,
2023-05-01,vah,415.63,True,0.0,570.0
2023-05-01,val,413.98,False,,
2023-05-01,high,415.94,True,5.0,575.0
2023-05-01,low,411.43,False,,
2023-05-01,close,415.93,True,5.0,575.0
2023-05-02,poc,415.88,False,,
2023-05-02,vah,416.68,False,,
2023-05-02,val,415.52,False,,
2023-05-02,high,417.62,False,,
2023-05-02,low,415.265,False,,
2023-05-02,close,415.53,False,,
2023-05-03,poc,411.12,True,69.0,639.0
2023-05-03,vah,411.43,True,0.0,570.0
2023-05-03,val,408.82,True,352.0,922.0
2023-05-03,high,414.82,False,,
2023-05-03,low,407.82,True,385.0,955.0
2023-05-03,close,410.87,True,76.0,646.0
2023-05-04,poc,411.57,False,,
2023-05-04,vah,412.73,False,,
2023-05-04,val,410.07,False,,
2023-05-04,high,413.87,False,,
2023-05-04,low,407.77,False,,
2023-05-04,close,407.99,False,,
2023-05-05,poc,405.18,False,,
2023-05-05,vah,406.08,False,,
2023-05-05,val,404.68,False,,
2023-05-05,high,407.27,False,,
2023-05-05,low,403.74,False,,
2023-05-05,close,405.17,False,,
2023-05-08,poc,410.98,False,,
2023-05-08,vah,412.62,True,1.0,571.0
2023-05-08,val,409.73,False,,
2023-05-08,high,413.72,False,,
2023-05-08,low,408.64,False,,
2023-05-08,close,412.61,True,1.0,571.0
2023-05-09,poc,412.77,False,,
2023-05-09,vah,412.88,False,,
2023-05-09,val,412.12,True,270.0,840.0
2023-05-09,high,413.24,False,,
2023-05-09,low,411.28,True,12.0,582.0
2023-05-09,close,412.79,False,,
2023-05-10,poc,411.03,True,72.0,642.0
2023-05-10,vah,411.53,True,18.0,588.0
2023-05-10,val,410.93,True,74.0,644.0
2023-05-10,high,412.09,True,11.0,581.0
2023-05-10,low,410.6894,True,75.0,645.0
