window,level,vol_filter,split,target_mult,stop_mult,n,hit,stop_rate,exp_atr
10_00_10_30,vah,V0,oos,1.5,0.5,14,0.35714285714285715,0.6428571428571429,0.21428571428571427
10_00_10_30,vah,V0,train,1.5,0.75,183,0.33879781420765026,0.639344262295082,0.028688524590163935
10_00_10_30,vah,V0,oos,1.5,0.75,14,0.35714285714285715,0.6428571428571429,0.05357142857142857
10_00_10_30,vah,V0,train,1.5,1.0,183,0.3989071038251366,0.5628415300546448,0.03551912568306011
10_00_10_30,vah,V0,oos,1.5,1.0,14,0.35714285714285715,0.6428571428571429,-0.10714285714285714
10_00_10_30,vah,V0,train,1.5,1.5,183,0.44808743169398907,0.5027322404371585,-0.08196721311475409
10_00_10_30,vah,V0,oos,1.5,1.5,14,0.5,0.5,0.0
10_00_10_30,vah,V1,train,0.3,0.5,69,0.463768115942029,0.5362318840579711,-0.1289855072463768
10_00_10_30,vah,V1,oos,0.3,0.5,3,0.6666666666666666,0.3333333333333333,0.033333333333333326
10_00_10_30,vah,V1,train,0.3,0.75,69,0.5942028985507246,0.4057971014492754,-0.12608695652173915
10_00_10_30,vah,V1,oos,0.3,0.75,3,0.6666666666666666,0.3333333333333333,-0.05000000000000001
10_00_10_30,vah,V1,train,0.3,1.0,69,0.6666666666666666,0.3333333333333333,-0.13333333333333336
10_00_10_30,vah,V1,oos,0.3,1.0,3,1.0,0.0,0.3
10_00_10_30,vah,V1,train,0.3,1.5,69,0.7536231884057971,0.2463768115942029,-0.14347826086956522
10_00_10_30,vah,V1,oos,0.3,1.5,3,1.0,0.0,0.3
10_00_10_30,vah,V1,train,0.5,0.5,69,0.43478260869565216,0.5652173913043478,-0.06521739130434782
10_00_10_30,vah,V1,oos,0.5,0.5,3,0.6666666666666666,0.3333333333333333,0.16666666666666666
10_00_10_30,vah,V1,train,0.5,0.75,69,0.5507246376811594,0.4492753623188406,-0.06159420289855073
10_00_10_30,vah,V1,oos,0.5,0.75,3,0.6666666666666666,0.3333333333333333,0.08333333333333333
10_00_10_30,vah,V1,train,0.5,1.0,69,0.6086956521739131,0.391304347826087,-0.08695652173913043
10_00_10_30,vah,V1,oos,0.5,1.0,3,1.0,0.0,0.5
