group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,8920.0,0.20414798206278026,0.23602973439116903,0.23835939979303297,0.2681614349775785,0.5208702081177411,0.5263708060250666,0.22769058295964126,0.7198458548924909,0.7252193744969533,0.19652466367713003,0.861497539381395,0.873206278026906,0.3977578475336323,0.5576233183856503,0.01961883408071749,-0.020078475336322885
tier_1,8920.0,0.20414798206278026,0.23602973439116903,0.23835939979303297,0.2681614349775785,0.5208702081177411,0.5263708060250666,0.22769058295964126,0.7198458548924909,0.7252193744969533,0.19652466367713003,0.861497539381395,0.873206278026906,0.3977578475336323,0.5576233183856503,0.01961883408071749,-0.020078475336322885
at,166.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,4351.0,0.21650195357389107,0.2480200092635475,0.2476462019453459,0.2686738680763043,0.5407087077350617,0.5415441176470591,0.2284532291427258,0.7443774664196373,0.7506428207503476,0.19834520799816135,0.8867135942565989,0.903240365910144,0.404964376005516,0.5676855895196506,0.019765571133072857,-0.020432084578257865
from_below,4403.0,0.19963661140131728,0.22420648549897215,0.22920196391870384,0.2777651601181013,0.5013080612011871,0.5114088604704276,0.23552123552123552,0.6956559716830325,0.7001500799269244,0.20213490801726094,0.8366327472025573,0.8435905686229732,0.4056325232795821,0.5687031569384511,0.020213490801726096,-0.020486032250738143
first_touch_tier_1,715.0,0.25314685314685315,0.29209578059071734,0.301609142053446,0.23216783216783216,0.6053545710267242,0.6457582278481,0.1972027972027972,0.8376473980309426,0.871103234880448,0.17202797202797201,0.9988511954992967,1.0479601969057655,0.38741258741258744,0.6027972027972028,0.004195804195804196,-0.03447552447552448
