horizon,n,mean_max_up,mean_max_dn,p_up_ge_target,p_dn_ge_target,p_up_ge_target_no_stop,p_dn_ge_target_no_stop
1,84968,0.19489623623011004,0.19855029422841547,0.19946332737030412,0.21373929008567932,0.1713115525845024,0.1852109029281612
5,81700,0.4450482080783351,0.46312889106487143,0.5318359853121175,0.5294614443084456,0.30843329253365975,0.30422276621787026
10,77615,0.6290802473748627,0.6643620034787089,0.65804290407782,0.6499516845970496,0.275384912710172,0.264227275655479
15,73530,0.7695822698218411,0.8209133374133005,0.7191894464844282,0.7102135182918536,0.23773969808241535,0.22675098599211208
