group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,113289.0,0.11475959713652693,0.1624410338734499,0.2048885805014933,0.2532902576596139,0.3699913660903415,0.4189561952385259,0.2701144859606846,0.5204552848013037,0.5728051506110252,0.2602282657627837,0.6325069938625871,0.6846325924504386,0.397028837751238,0.5167050640397567,0.0613828350501814,-0.010067614684567796
tier_1,23060.0,0.11274934952298352,0.16056056654652276,0.2001838600987846,0.25138768430182135,0.36599386873136697,0.40983000436078754,0.26617519514310495,0.5142253153562053,0.564358300538423,0.2579358196010408,0.6281513599430428,0.6772554526765445,0.39470945359930615,0.5112315698178664,0.06860364267129228,-0.009395056374674766
tier_3,90229.0,0.11527336000620643,0.16292127458890654,0.20609008943486687,0.2537765020115484,0.37101226178165186,0.42128687568894374,0.27112125813208615,0.5220463174880962,0.5749623384888121,0.26081415066109565,0.633619351796084,0.686516593747514,0.3976216072437908,0.5181039355417881,0.05953739928404393,-0.010239501712309786
at,2370.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,55110.0,0.1160587915078933,0.16484885238494323,0.16506890988594525,0.25911812738160045,0.37147473330175274,0.37361912305505957,0.27749954636182184,0.5198320940130451,0.5252741625915534,0.26804572672836147,0.6296554351200668,0.6364928832124767,0.40694973688985664,0.5288876791870804,0.060097985846488844,-0.01013699872981311
from_below,55809.0,0.11835008690354602,0.16006345171272346,0.2442082127950485,0.258291673386013,0.3685266263673004,0.46372394394070154,0.2742926768084001,0.5210706498272888,0.6197392648963724,0.2635596409181315,0.6353227439550954,0.7321677838946452,0.4040925298786934,0.5266175706427279,0.06525829167338601,-0.010426633697073959
first_touch_tier_1,912.0,0.19407894736842105,0.22351008771929956,0.23079703947368288,0.29276315789473684,0.47944221491228217,0.4656529605263148,0.26973684210526316,0.6873389254385992,0.643036842105263,0.24561403508771928,0.8217666666666679,0.7919712719298246,0.42872807017543857,0.5449561403508771,0.02631578947368421,-0.007620614035087722
first_touch_tier_3,3592.0,0.17984409799554565,0.22043702354260242,0.2356614069506723,0.263641425389755,0.4848606221973107,0.4912059136771293,0.25,0.6571779988789251,0.6707846132286994,0.2255011135857461,0.7957015134529165,0.8109311378923769,0.39393095768374164,0.5701559020044543,0.02923162583518931,-0.024359688195991092
