group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,48530.0,0.13989284978363897,0.17810844672278153,0.1805450498913569,0.2674428188749227,0.40691292956142044,0.409987857308609,0.26948279414794973,0.5716791806425756,0.5744071830896778,0.2502781784463219,0.693193323207392,0.6977987891061745,0.4095817020399753,0.5314238615289512,0.03577168761590769,-0.00998145477024522
tier_1,11974.0,0.14564890596291966,0.1813767278940623,0.1832989747970953,0.2605645565391682,0.4086735924818452,0.4216699359248184,0.2605645565391682,0.5699872618539078,0.5881473900042713,0.24194087188909302,0.6898823835967525,0.7098195984621947,0.40337397695005844,0.5312343410723234,0.04292634040420912,-0.011796392183063303
tier_2,12576.0,0.12746501272264632,0.171580337904016,0.17876038197845254,0.25906488549618323,0.39070556643813287,0.40202405321580154,0.26407442748091603,0.55439574763304,0.5660751224289917,0.24475190839694658,0.6774208455762328,0.6929142017629777,0.39782124681933845,0.5427798982188295,0.033635496183206104,-0.016348600508905863
tier_3,23980.0,0.14353628023352794,0.17988816002729718,0.18010280218374095,0.27527105921601336,0.4145033097330039,0.4083173718331481,0.2767723102585488,0.5815555147999665,0.5719016506013817,0.2573394495412844,0.7030883562228103,0.6943501151582357,0.4188490408673895,0.5255629691409508,0.033319432860717264,-0.005736030025020858
at,968.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,23981.0,0.1420291063758809,0.18195990796904427,0.1865893536916963,0.2686710312330595,0.40967682911524816,0.4219828906086593,0.27705266669446643,0.5744279313951056,0.5915733905040786,0.2608314915975147,0.6955683120686049,0.7156740389039948,0.4199574663275093,0.5393436470539177,0.03752971102122514,-0.00884867186522665
from_below,23581.0,0.14346295746575632,0.1741902757681509,0.17439605498340244,0.27717229973283575,0.4041011575453232,0.39778506255851526,0.2728467834273356,0.5688828198144527,0.5569436462677672,0.2498197701539375,0.6907771980594096,0.6796139288450075,0.4158432636444595,0.5451846825834358,0.03545227089606039,-0.011543191552521108
first_touch_tier_1,511.0,0.22309197651663404,0.2586929133858271,0.26534350393700545,0.2622309197651663,0.5671584645669316,0.5899728346456655,0.24266144814090018,0.7950437007874033,0.7776913385826724,0.2191780821917808,0.9438531496062996,0.9158287401574767,0.4090019569471624,0.5772994129158513,0.007827788649706457,-0.021624266144814098
first_touch_tier_2,500.0,0.214,0.2625689378757525,0.27478096192384943,0.238,0.5733659318637285,0.569166332665333,0.226,0.778853106212425,0.7735352705410831,0.188,0.927988777555111,0.9543272545090191,0.396,0.59,0.012,-0.028700000000000003
first_touch_tier_3,1047.0,0.23973256924546324,0.2724942583732062,0.25839397129186636,0.27602674307545366,0.5955546411483257,0.5456088995215315,0.24355300859598855,0.7856157894736846,0.7633723444976085,0.22063037249283668,0.9596436363636359,0.9436947368421054,0.4221585482330468,0.5616045845272206,0.014326647564469915,-0.013753581661891123
