group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,17470.0,0.20915855752718948,0.23669742806811522,0.2379477216676453,0.2790497996565541,0.5295350146799764,0.5273136288901937,0.23571837435603893,0.7304909512624778,0.729793000587199,0.20457927876359475,0.8751003405754546,0.877509953024075,0.4077847738981111,0.548712077847739,0.018317115054378934,-0.01484258729250144
tier_1,4545.0,0.2132013201320132,0.24145695661946479,0.2379246347493824,0.26886688668866887,0.5304439199820177,0.5353816138458084,0.2286028602860286,0.7225119802202732,0.7351392672510675,0.19603960396039605,0.8555167678129902,0.8775984041357604,0.4,0.5595159515951595,0.019361936193619363,-0.019878987898789884
tier_2,4375.0,0.19474285714285713,0.23034571563088474,0.23881473634651726,0.2674285714285714,0.5108435028248582,0.5169336393596992,0.22674285714285713,0.7170535781544252,0.7148301082862532,0.19702857142857144,0.8677612994350278,0.8686063323917145,0.3954285714285714,0.5556571428571428,0.019885714285714284,-0.020285714285714285
tier_3,8550.0,0.2143859649122807,0.23739428777151142,0.23751806072242793,0.2904093567251462,0.5385783151326058,0.5282976359054357,0.244093567251462,0.741601044041762,0.7345664106564257,0.21298245614035088,0.8892973358934358,0.882001620064802,0.4182456140350877,0.5394152046783626,0.01695906432748538,-0.009380116959064332
at,313.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,8605.0,0.21650203370133644,0.24432270865035702,0.248979164228023,0.2771644392794887,0.5412294393070347,0.5483088259393657,0.2335851249273678,0.7450077724452759,0.7579965000585278,0.20476467170249854,0.8894958211401136,0.9058981154161306,0.4085996513654852,0.5647879140034864,0.019407321324811155,-0.018617083091226037
from_below,8552.0,0.20942469597754912,0.22902183339224721,0.226843490043596,0.29115996258185217,0.5177634264168731,0.5061798986685516,0.24649204864359214,0.7158783433486513,0.7014034052079645,0.2118802619270346,0.8606098739248265,0.8489344762578052,0.42188961646398504,0.5526192703461179,0.017890551917680075,-0.011587932647333973
first_touch_tier_1,369.0,0.25203252032520324,0.29191416893733074,0.3003760217983622,0.23035230352303523,0.615549318801094,0.6611719346048995,0.2005420054200542,0.8712803814713915,0.8814051771117114,0.1842818428184282,1.0403858310626715,1.0252419618528574,0.3821138211382114,0.6124661246612466,0.0,-0.03848238482384825
first_touch_tier_2,346.0,0.2543352601156069,0.2922895348837199,0.302924709302329,0.23410404624277456,0.5944781976744169,0.6293139534883748,0.1936416184971098,0.8017656976744169,0.8601125000000016,0.15895953757225434,0.9545395348837198,1.0721973837209324,0.3930635838150289,0.5924855491329479,0.008670520231213872,-0.030202312138728333
first_touch_tier_3,765.0,0.27320261437908494,0.3029015748031512,0.2836704724409434,0.28627450980392155,0.6612019685039388,0.5887660104986872,0.22745098039215686,0.8679153543307108,0.835401049868766,0.2065359477124183,1.045028871391077,1.0369762467191583,0.42483660130718953,0.5660130718954248,0.00522875816993464,-0.014052287581699347
