config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,0.15,585,0.38803418803418804,0.6068376068376068,0.005128205128205128,-0.03282051282051283,-0.21880341880341886
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,0.2,585,0.46324786324786327,0.5316239316239316,0.005128205128205128,-0.03683760683760685,-0.18418803418803423
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,0.25,585,0.5299145299145299,0.46324786324786327,0.006837606837606838,-0.03632478632478633,-0.1452991452991453
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,0.3,585,0.5846153846153846,0.40854700854700854,0.006837606837606838,-0.034871794871794884,-0.11623931623931628
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,0.5,585,0.7111111111111111,0.27350427350427353,0.015384615384615385,-0.03008547008547009,-0.06017094017094018
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,0.75,585,0.788034188034188,0.1658119658119658,0.046153846153846156,-0.006153846153846169,-0.008205128205128224
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,1.0,585,0.8153846153846154,0.11282051282051282,0.07179487179487179,0.009487179487179483,0.009487179487179483
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.15,1.5,585,0.8358974358974359,0.046153846153846156,0.11794871794871795,0.056153846153846144,0.03743589743589743
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,0.15,585,0.3435897435897436,0.6478632478632479,0.008547008547008548,-0.028461538461538458,-0.18974358974358974
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,0.2,585,0.4205128205128205,0.5675213675213675,0.011965811965811967,-0.029401709401709407,-0.147008547008547
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,0.25,585,0.48205128205128206,0.5025641025641026,0.015384615384615385,-0.02923076923076922,-0.11692307692307688
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,0.3,585,0.535042735042735,0.4495726495726496,0.015384615384615385,-0.027863247863247845,-0.09287749287749282
