group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,11974.0,0.14564890596291966,0.1813767278940623,0.1832989747970953,0.2605645565391682,0.4086735924818452,0.4216699359248184,0.2605645565391682,0.5699872618539078,0.5881473900042713,0.24194087188909302,0.6898823835967525,0.7098195984621947,0.40337397695005844,0.5312343410723234,0.04292634040420912,-0.011796392183063303
tier_1,11974.0,0.14564890596291966,0.1813767278940623,0.1832989747970953,0.2605645565391682,0.4086735924818452,0.4216699359248184,0.2605645565391682,0.5699872618539078,0.5881473900042713,0.24194087188909302,0.6898823835967525,0.7098195984621947,0.40337397695005844,0.5312343410723234,0.04292634040420912,-0.011796392183063303
at,225.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,5838.0,0.14902363823227133,0.18644916537601133,0.19124128377215663,0.26652963343610825,0.4189014627430738,0.43031691619342605,0.27183967112024665,0.5840561349165371,0.6024199793495091,0.25436793422404935,0.7020026673550155,0.7281210635002575,0.4181226447413498,0.5291195614936622,0.048132922233641656,-0.006843096951010628
from_below,5911.0,0.14785992217898833,0.17637572107227645,0.1754685103495077,0.26459143968871596,0.39858975229046417,0.41314472344757375,0.25934698020639485,0.5561165083135381,0.5740757889379026,0.23887667061410928,0.6779327790973858,0.6917758568035278,0.4041617323633903,0.5535442395533751,0.039418034173574694,-0.017137540179326692
first_touch_tier_1,511.0,0.22309197651663404,0.2586929133858271,0.26534350393700545,0.2622309197651663,0.5671584645669316,0.5899728346456655,0.24266144814090018,0.7950437007874033,0.7776913385826724,0.2191780821917808,0.9438531496062996,0.9158287401574767,0.4090019569471624,0.5772994129158513,0.007827788649706457,-0.021624266144814098
