group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,7290.0,0.15596707818930042,0.19545592077538992,0.20342277005197323,0.26598079561042526,0.4411792807978649,0.4573543334738017,0.24499314128943758,0.6183413962635202,0.6461265346256493,0.22098765432098766,0.7496408343868521,0.7804588846748138,0.3914951989026063,0.5384087791495199,0.04663923182441701,-0.01715363511659809
tier_1,7290.0,0.15596707818930042,0.19545592077538992,0.20342277005197323,0.26598079561042526,0.4411792807978649,0.4573543334738017,0.24499314128943758,0.6183413962635202,0.6461265346256493,0.22098765432098766,0.7496408343868521,0.7804588846748138,0.3914951989026063,0.5384087791495199,0.04663923182441701,-0.01715363511659809
at,118.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,3533.0,0.16076988395131617,0.20151161529680323,0.20458490296803675,0.26379847155392017,0.44884783105022763,0.46684648972602716,0.2394565525049533,0.6273723173515979,0.655870376712329,0.21511463345598641,0.7517304509132413,0.7878524257990878,0.38833852250212286,0.5618454571185961,0.04160769883951316,-0.02395980752901218
from_below,3639.0,0.15636163781258589,0.18958616874135603,0.2022963208851997,0.2767243748282495,0.43374619640387346,0.4481536376210222,0.25831272327562516,0.6095877731673588,0.6366818810511747,0.23385545479527342,0.7476153803596135,0.7732923651452271,0.40725474031327286,0.5331134927177796,0.05303654850233581,-0.011101951085463049
first_touch_tier_1,586.0,0.2150170648464164,0.2301931623931627,0.23907794871794683,0.2832764505119454,0.5061282051282071,0.47987641025640954,0.24061433447098976,0.7356256410256434,0.6853167521367521,0.2098976109215017,0.8803507692307705,0.8631006837606842,0.41467576791808874,0.5614334470989761,0.02218430034129693,-0.01595563139931742
