group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,36630.0,0.16025116025116026,0.19764160949794188,0.20198362501050046,0.2747747747747748,0.4461635202867305,0.44948637470948966,0.2580671580671581,0.6206517794640608,0.6283699857194861,0.2325962325962326,0.7492645255229189,0.7556574328675835,0.401010101010101,0.5358995358995359,0.038056238056238055,-0.013671853671853676
tier_1,7290.0,0.15596707818930042,0.19545592077538992,0.20342277005197323,0.26598079561042526,0.4411792807978649,0.4573543334738017,0.24499314128943758,0.6183413962635202,0.6461265346256493,0.22098765432098766,0.7496408343868521,0.7804588846748138,0.3914951989026063,0.5384087791495199,0.04663923182441701,-0.01715363511659809
tier_3,29340.0,0.16131561008861622,0.19818577673637816,0.20162532349443954,0.2769597818677573,0.4474044379939849,0.4475275022732044,0.2613156100886162,0.6212269916765756,0.6239491676575508,0.235480572597137,0.7491708365391343,0.7494826572008118,0.40337423312883436,0.5352760736196319,0.03592365371506476,-0.01280674846625767
at,662.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,18020.0,0.16104328523862374,0.19984531022917773,0.20401070430408094,0.27935627081021086,0.44704397428731096,0.4540347624371163,0.25921198668146506,0.6206246506428167,0.6330256623812193,0.2327968923418424,0.7443570318613746,0.758479250978201,0.4027746947835738,0.5512208657047725,0.03879023307436182,-0.016972807991120973
from_below,17948.0,0.16536661466458658,0.19542962464231659,0.19994892554564292,0.2803097838199242,0.445279756494418,0.44492088873926894,0.26643637174058393,0.6206790102676324,0.6236968074959318,0.24097392467127257,0.7541904673736193,0.7528250070134093,0.41402941831958995,0.5402830398930243,0.03872297749052819,-0.01086193447737911
first_touch_tier_1,586.0,0.2150170648464164,0.2301931623931627,0.23907794871794683,0.2832764505119454,0.5061282051282071,0.47987641025640954,0.24061433447098976,0.7356256410256434,0.6853167521367521,0.2098976109215017,0.8803507692307705,0.8631006837606842,0.41467576791808874,0.5614334470989761,0.02218430034129693,-0.01595563139931742
first_touch_tier_3,2326.0,0.2063628546861565,0.23500138408304647,0.24472928200691935,0.2730008598452279,0.5201721453287218,0.5168855536332165,0.2416165090283749,0.6993027681660923,0.7183223183390995,0.21324161650902837,0.8528810986159194,0.8763478806228373,0.4032674118658641,0.5739466895958727,0.016766981943250214,-0.02250644883920895
