group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,23060.0,0.11274934952298352,0.16056056654652276,0.2001838600987846,0.25138768430182135,0.36599386873136697,0.40983000436078754,0.26617519514310495,0.5142253153562053,0.564358300538423,0.2579358196010408,0.6281513599430428,0.6772554526765445,0.39470945359930615,0.5112315698178664,0.06860364267129228,-0.009395056374674766
tier_1,23060.0,0.11274934952298352,0.16056056654652276,0.2001838600987846,0.25138768430182135,0.36599386873136697,0.40983000436078754,0.26617519514310495,0.5142253153562053,0.564358300538423,0.2579358196010408,0.6281513599430428,0.6772554526765445,0.39470945359930615,0.5112315698178664,0.06860364267129228,-0.009395056374674766
at,495.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,11226.0,0.11615891680028505,0.16263842269148174,0.16240195848246197,0.256547300908605,0.3696707956335005,0.36795077738009974,0.26999821842152144,0.5169021395848247,0.5163370604867565,0.260110457865669,0.6268041528274872,0.6268852709377234,0.40067699982184213,0.5273472296454659,0.06752182433636202,-0.011633707464813837
from_below,11339.0,0.11429579327983068,0.15850496592015637,0.23756108701425077,0.2572537260781374,0.36235632468797097,0.45126067097459366,0.27401005379663107,0.5115771620784281,0.6118651942993704,0.26704294911367843,0.6294841373816061,0.7270861290608116,0.4060322779786577,0.5175941441044184,0.0726695475791516,-0.0075888526325072715
first_touch_tier_1,912.0,0.19407894736842105,0.22351008771929956,0.23079703947368288,0.29276315789473684,0.47944221491228217,0.4656529605263148,0.26973684210526316,0.6873389254385992,0.643036842105263,0.24561403508771928,0.8217666666666679,0.7919712719298246,0.42872807017543857,0.5449561403508771,0.02631578947368421,-0.007620614035087722
