config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_morning_0930_1115_BASELINE,fade,15,0.15,0.15,8223,0.44144472820138636,0.555028578377721,0.003526693420892618,-0.017037577526450205,-0.1135838501763347
SPY_morning_0930_1115_BASELINE,fade,15,0.15,0.2,8223,0.5133163079168187,0.4785358141797397,0.008147877903441566,-0.01870971664842515,-0.09354858324212575
SPY_morning_0930_1115_BASELINE,fade,15,0.15,0.25,8223,0.5731484859540313,0.4125015201264745,0.014349993919494103,-0.017153107138513934,-0.06861242855405573
SPY_morning_0930_1115_BASELINE,fade,15,0.15,0.3,8223,0.621914143256719,0.35692569621792536,0.02116016052535571,-0.013790587376869752,-0.04596862458956584
SPY_morning_0930_1115_BASELINE,fade,15,0.15,0.5,8223,0.7170132555028579,0.22728931047063117,0.055697434026511006,-0.0060926669098869055,-0.012185333819773811
SPY_morning_0930_1115_BASELINE,fade,15,0.15,0.75,8223,0.7645628116259273,0.13693299282500304,0.09850419554906968,0.011984677125136806,0.01597956950018241
SPY_morning_0930_1115_BASELINE,fade,15,0.15,1.0,8223,0.7825611090842758,0.0826948802140338,0.13474401070169037,0.034689286148607563,0.034689286148607563
SPY_morning_0930_1115_BASELINE,fade,15,0.15,1.5,8223,0.79423568040861,0.037212696096315216,0.1685516234950748,0.06331630791681868,0.042210871944545786
SPY_morning_0930_1115_BASELINE,fade,15,0.2,0.15,8223,0.3861121245287608,0.6058616076857595,0.008026267785479753,-0.013656816247111753,-0.0910454416474117
SPY_morning_0930_1115_BASELINE,fade,15,0.2,0.2,8223,0.45299768940775875,0.5302201143135109,0.01678219627873039,-0.015444484981150431,-0.07722242490575215
SPY_morning_0930_1115_BASELINE,fade,15,0.2,0.25,8223,0.5083302930803842,0.46503709108597835,0.02663261583363736,-0.014593214155417731,-0.058372856621670924
SPY_morning_0930_1115_BASELINE,fade,15,0.2,0.3,8223,0.553690867080141,0.4087316064696583,0.037577526450200655,-0.011881308524869261,-0.03960436174956421
SPY_morning_0930_1115_BASELINE,fade,15,0.2,0.5,8223,0.6472090477927763,0.26498844703879365,0.08780250516843001,-0.003052413960841531,-0.006104827921683062
SPY_morning_0930_1115_BASELINE,fade,15,0.2,0.75,8223,0.6943937735619603,0.1635656086586404,0.14204061777939925,0.01620454821841177,0.021606064291215695
SPY_morning_0930_1115_BASELINE,fade,15,0.2,1.0,8223,0.7140946126717743,0.1003283473184969,0.1855770400097288,0.04249057521585797,0.04249057521585797
SPY_morning_0930_1115_BASELINE,fade,15,0.2,1.5,8223,0.7271068952936884,0.043536422230329566,0.229356682475982,0.08011674571324334,0.0534111638088289
SPY_morning_0930_1115_BASELINE,fade,15,0.3,0.15,8223,0.3063358871458105,0.6745713243341847,0.019092788520004865,-0.009284932506384534,-0.06189955004256356
SPY_morning_0930_1115_BASELINE,fade,15,0.3,0.2,8223,0.36361425270582515,0.6020916940289432,0.03429405326523167,-0.01133406299404111,-0.05667031497020555
SPY_morning_0930_1115_BASELINE,fade,15,0.3,0.25,8223,0.4111638088288946,0.5377599416271434,0.05107624954396206,-0.01109084275811748,-0.04436337103246992
SPY_morning_0930_1115_BASELINE,fade,15,0.3,0.3,8223,0.4484981150431716,0.48315699866228873,0.0683448862945397,-0.010397665085735133,-0.03465888361911711
SPY_morning_0930_1115_BASELINE,fade,15,0.3,0.5,8223,0.5333819773805181,0.3176456281162593,0.14897239450322267,0.0011917791560257759,0.0023835583120515517
SPY_morning_0930_1115_BASELINE,fade,15,0.3,0.75,8223,0.5792289918521221,0.197251611334063,0.2235193968138149,0.025829989055089368,0.03443998540678583
SPY_morning_0930_1115_BASELINE,fade,15,0.3,1.0,8223,0.5994162714337833,0.12112367748996716,0.27946005107624955,0.058701203940167826,0.058701203940167826
SPY_morning_0930_1115_BASELINE,fade,15,0.3,1.5,8223,0.6135230451173538,0.05265718107746564,0.3338197738051806,0.10507114191900765,0.0700474279460051
