horizon,n,mean_max_up,mean_max_dn,p_up_ge_target,p_dn_ge_target,p_up_ge_target_no_stop,p_dn_ge_target_no_stop
1,84964,0.15767768584341574,0.16069867237889024,0.13503366131538064,0.14566169201073395,0.11953297867332047,0.13058471823360482
5,81696,0.3611751566784174,0.3736538851351355,0.4308289267528398,0.43574960830395615,0.2865990990990991,0.29172786917352134
10,77611,0.5123741698985967,0.5359346587468277,0.5721611627217791,0.5688111221347489,0.29542204069010836,0.29238123461880405
15,73526,0.6282618937518699,0.6627060060386809,0.6466692054511329,0.6395288741397601,0.27300546745368987,0.26585153551124774
