ticker,grid,window,bucket,n,hit_15,base_hit_15,edge_pp,fp_hit,fp_exp,mfe15,mae15,base_mean_up,base_mean_dn
SPY,step_0.50_t1_5_t2_1,morning_0930_1115,ALL,72701,0.2336419031375084,0.2730054674536898,-0.039363564316181404,0.4039146641724322,-0.0118430282939711,0.750624389865418,0.7546602925824566,0.6282618937518699,0.6627060060386809
SPY,step_0.50_t1_5_t2_1,morning_0930_1115,first_T1,586,0.2098976109215017,0.2730054674536898,-0.06310785653218812,0.4146757679180887,-0.0159556313993174,0.8803507692307705,0.8631006837606842,0.6282618937518699,0.6627060060386809
SPY,step_0.50_t1_5_t2_1,morning_0930_1115,first_T2,2326,0.2132416165090283,0.2730054674536898,-0.05976385094466152,0.4032674118658641,-0.0225064488392089,0.8528810986159194,0.8763478806228373,0.6282618937518699,0.6627060060386809
SPY,step_0.50_t1_5_t2_1,morning_0930_1115,first_T3,2937,0.2301668369084099,0.2730054674536898,-0.04283863054527992,0.4290091930541369,-0.008682328907048,0.8735827219746318,0.8669980802194045,0.6282618937518699,0.6627060060386809
SPY,step_0.50_t1_5_t2_1,rth_0930_1600,ALL,225674,0.2608408589381142,0.2916255382223985,-0.0307846792842843,0.3985128991376942,-0.0095072981380221,0.6342111777740423,0.6853925524503165,0.5024144148928146,0.5247665183430131
SPY,step_0.50_t1_5_t2_1,rth_0930_1600,first_T1,912,0.2456140350877192,0.2916255382223985,-0.046011503134679305,0.4287280701754385,-0.0076206140350877,0.8217666666666679,0.7919712719298246,0.5024144148928146,0.5247665183430131
SPY,step_0.50_t1_5_t2_1,rth_0930_1600,first_T2,3592,0.2255011135857461,0.2916255382223985,-0.06612442463665241,0.3939309576837416,-0.024359688195991,0.7957015134529165,0.8109311378923769,0.5024144148928146,0.5247665183430131
SPY,step_0.50_t1_5_t2_1,rth_0930_1600,first_T3,4515,0.2414174972314507,0.2916255382223985,-0.050208040990947805,0.4199335548172757,-0.0103433001107419,0.8107427264614014,0.8000682730923702,0.5024144148928146,0.5247665183430131
SPY,step_1.00_t1_5,morning_0930_1115,ALL,36630,0.2325962325962326,0.2730054674536898,-0.040409234857457205,0.401010101010101,-0.0136718536718536,0.7492645255229189,0.7556574328675835,0.6282618937518699,0.6627060060386809
SPY,step_1.00_t1_5,morning_0930_1115,first_T1,586,0.2098976109215017,0.2730054674536898,-0.06310785653218812,0.4146757679180887,-0.0159556313993174,0.8803507692307705,0.8631006837606842,0.6282618937518699,0.6627060060386809
SPY,step_1.00_t1_5,morning_0930_1115,first_T3,2326,0.2132416165090283,0.2730054674536898,-0.05976385094466152,0.4032674118658641,-0.0225064488392089,0.8528810986159194,0.8763478806228373,0.6282618937518699,0.6627060060386809
SPY,step_1.00_t1_5,rth_0930_1600,ALL,113289,0.2602282657627837,0.2916255382223985,-0.03139727245961482,0.397028837751238,-0.0100676146845677,0.6325069938625871,0.6846325924504386,0.5024144148928146,0.5247665183430131
SPY,step_1.00_t1_5,rth_0930_1600,first_T1,912,0.2456140350877192,0.2916255382223985,-0.046011503134679305,0.4287280701754385,-0.0076206140350877,0.8217666666666679,0.7919712719298246,0.5024144148928146,0.5247665183430131
SPY,step_1.00_t1_5,rth_0930_1600,first_T3,3592,0.2255011135857461,0.2916255382223985,-0.06612442463665241,0.3939309576837416,-0.024359688195991,0.7957015134529165,0.8109311378923769,0.5024144148928146,0.5247665183430131
SPY,step_5.00,morning_0930_1115,ALL,7290,0.2209876543209876,0.2730054674536898,-0.052017813132702206,0.3914951989026063,-0.017153635116598,0.7496408343868521,0.7804588846748138,0.6282618937518699,0.6627060060386809
SPY,step_5.00,morning_0930_1115,first_T1,586,0.2098976109215017,0.2730054674536898,-0.06310785653218812,0.4146757679180887,-0.0159556313993174,0.8803507692307705,0.8631006837606842,0.6282618937518699,0.6627060060386809
SPY,step_5.00,rth_0930_1600,ALL,23060,0.2579358196010408,0.2916255382223985,-0.03368971862135772,0.3947094535993061,-0.0093950563746747,0.6281513599430428,0.6772554526765445,0.5024144148928146,0.5247665183430131
SPY,step_5.00,rth_0930_1600,first_T1,912,0.2456140350877192,0.2916255382223985,-0.046011503134679305,0.4287280701754385,-0.0076206140350877,0.8217666666666679,0.7919712719298246,0.5024144148928146,0.5247665183430131
QQQ,step_1.00_t1_10_t2_5,morning_0930_1115,ALL,43180,0.2008568781843446,0.2377396980824153,-0.036882819898070685,0.4005094951366373,-0.0184761463640574,0.8737760139627657,0.8977386778115499,0.7695822698218411,0.8209133374133005
QQQ,step_1.00_t1_10_t2_5,morning_0930_1115,first_T1,369,0.1842818428184282,0.2377396980824153,-0.05345785526398711,0.3821138211382114,-0.0384823848238482,1.0403858310626717,1.0252419618528574,0.7695822698218411,0.8209133374133005
QQQ,step_1.00_t1_10_t2_5,morning_0930_1115,first_T2,346,0.1589595375722543,0.2377396980824153,-0.07878016051016098,0.3930635838150289,-0.0302023121387283,0.9545395348837198,1.0721973837209324,0.7695822698218411,0.8209133374133005
QQQ,step_1.00_t1_10_t2_5,morning_0930_1115,first_T3,2934,0.1745057941376959,0.2377396980824153,-0.0632339039447194,0.3943421949556919,-0.0304703476482617,1.0379973630136974,1.062321712328767,0.7695822698218411,0.8209133374133005
QQQ,step_1.00_t1_10_t2_5,rth_0930_1600,ALL,121015,0.249283146717349,0.2872110525573632,-0.03792790584001418,0.4071891914225509,-0.0104135850927571,0.6948567959767682,0.7009544228457251,0.5607098097021409,0.5938612793210536
QQQ,step_1.00_t1_10_t2_5,rth_0930_1600,first_T1,511,0.2191780821917808,0.2872110525573632,-0.06803297036558237,0.4090019569471624,-0.021624266144814,0.9438531496062996,0.9158287401574768,0.5607098097021409,0.5938612793210536
QQQ,step_1.00_t1_10_t2_5,rth_0930_1600,first_T2,500,0.188,0.2872110525573632,-0.09921105255736318,0.396,-0.0287,0.927988777555111,0.9543272545090192,0.5607098097021409,0.5938612793210536
QQQ,step_1.00_t1_10_t2_5,rth_0930_1600,first_T3,4105,0.1970767356881851,0.2872110525573632,-0.09013431686917808,0.4012180267965895,-0.0243361753958587,0.9423760832313328,0.9547539290085684,0.5607098097021409,0.5938612793210536
QQQ,step_2.50_t1_10_t2_5,morning_0930_1115,ALL,17470,0.2045792787635947,0.2377396980824153,-0.033160419318820605,0.4077847738981111,-0.0148425872925014,0.8751003405754546,0.877509953024075,0.7695822698218411,0.8209133374133005
QQQ,step_2.50_t1_10_t2_5,morning_0930_1115,first_T1,369,0.1842818428184282,0.2377396980824153,-0.05345785526398711,0.3821138211382114,-0.0384823848238482,1.0403858310626717,1.0252419618528574,0.7695822698218411,0.8209133374133005
QQQ,step_2.50_t1_10_t2_5,morning_0930_1115,first_T2,346,0.1589595375722543,0.2377396980824153,-0.07878016051016098,0.3930635838150289,-0.0302023121387283,0.9545395348837198,1.0721973837209324,0.7695822698218411,0.8209133374133005
QQQ,step_2.50_t1_10_t2_5,morning_0930_1115,first_T3,765,0.2065359477124183,0.2377396980824153,-0.031203750369997008,0.4248366013071895,-0.0140522875816993,1.045028871391077,1.0369762467191583,0.7695822698218411,0.8209133374133005
QQQ,step_2.50_t1_10_t2_5,rth_0930_1600,ALL,48530,0.2502781784463219,0.2872110525573632,-0.03693287411104129,0.4095817020399753,-0.0099814547702452,0.693193323207392,0.6977987891061745,0.5607098097021409,0.5938612793210536
QQQ,step_2.50_t1_10_t2_5,rth_0930_1600,first_T1,511,0.2191780821917808,0.2872110525573632,-0.06803297036558237,0.4090019569471624,-0.021624266144814,0.9438531496062996,0.9158287401574768,0.5607098097021409,0.5938612793210536
QQQ,step_2.50_t1_10_t2_5,rth_0930_1600,first_T2,500,0.188,0.2872110525573632,-0.09921105255736318,0.396,-0.0287,0.927988777555111,0.9543272545090192,0.5607098097021409,0.5938612793210536
QQQ,step_2.50_t1_10_t2_5,rth_0930_1600,first_T3,1047,0.2206303724928366,0.2872110525573632,-0.06658068006452658,0.4221585482330468,-0.0137535816618911,0.959643636363636,0.9436947368421054,0.5607098097021409,0.5938612793210536
QQQ,step_5.00,morning_0930_1115,ALL,8920,0.19652466367713,0.2377396980824153,-0.04121503440528529,0.3977578475336323,-0.0200784753363228,0.861497539381395,0.873206278026906,0.7695822698218411,0.8209133374133005
QQQ,step_5.00,morning_0930_1115,first_T1,715,0.172027972027972,0.2377396980824153,-0.06571172605444331,0.3874125874125874,-0.0344755244755244,0.9988511954992968,1.0479601969057657,0.7695822698218411,0.8209133374133005
QQQ,step_5.00,rth_0930_1600,ALL,24550,0.2433808553971486,0.2872110525573632,-0.04383019716021458,0.4005295315682281,-0.0141283095723014,0.6835093500855697,0.7011739032433106,0.5607098097021409,0.5938612793210536
QQQ,step_5.00,rth_0930_1600,first_T1,1011,0.2037586547972304,0.2872110525573632,-0.08345239776013277,0.4025717111770524,-0.0251236399604352,0.9359918570009936,0.934905958291955,0.5607098097021409,0.5938612793210536
QQQ,step_10.00,morning_0930_1115,ALL,4545,0.196039603960396,0.2377396980824153,-0.041700094122019304,0.4,-0.0198789878987898,0.8555167678129902,0.8775984041357604,0.7695822698218411,0.8209133374133005
QQQ,step_10.00,morning_0930_1115,first_T1,369,0.1842818428184282,0.2377396980824153,-0.05345785526398711,0.3821138211382114,-0.0384823848238482,1.0403858310626717,1.0252419618528574,0.7695822698218411,0.8209133374133005
QQQ,step_10.00,rth_0930_1600,ALL,11974,0.241940871889093,0.2872110525573632,-0.04527018066827018,0.4033739769500584,-0.0117963921830633,0.6898823835967525,0.7098195984621947,0.5607098097021409,0.5938612793210536
QQQ,step_10.00,rth_0930_1600,first_T1,511,0.2191780821917808,0.2872110525573632,-0.06803297036558237,0.4090019569471624,-0.021624266144814,0.9438531496062996,0.9158287401574768,0.5607098097021409,0.5938612793210536
