horizon,n,mean_max_up,mean_max_dn,p_up_ge_target,p_dn_ge_target,p_up_ge_target_no_stop,p_dn_ge_target_no_stop
1,316381,0.14162015576156584,0.1449331198776161,0.11341389021464626,0.12395181758702324,0.10003445213208126,0.11024050116789567
5,313113,0.3256422687655893,0.3391596966590338,0.3827404163991913,0.3905331302117766,0.2631158719056698,0.2696630290023091
10,309028,0.45986913774803556,0.48378132855275263,0.5226354893407718,0.5227584555444814,0.2935397439714201,0.29199619451959047
15,304943,0.5607098097021409,0.5938612793210536,0.5992136235296432,0.5943963298058982,0.2872110525573632,0.2804196194042821
