group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,4545.0,0.2132013201320132,0.24145695661946479,0.2379246347493824,0.26886688668866887,0.5304439199820177,0.5353816138458084,0.2286028602860286,0.7225119802202732,0.7351392672510675,0.19603960396039605,0.8555167678129902,0.8775984041357604,0.4,0.5595159515951595,0.019361936193619363,-0.019878987898789884
tier_1,4545.0,0.2132013201320132,0.24145695661946479,0.2379246347493824,0.26886688668866887,0.5304439199820177,0.5353816138458084,0.2286028602860286,0.7225119802202732,0.7351392672510675,0.19603960396039605,0.8555167678129902,0.8775984041357604,0.4,0.5595159515951595,0.019361936193619363,-0.019878987898789884
at,70.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,2208.0,0.22418478260869565,0.25409589790337267,0.2516726526891528,0.264945652173913,0.5646488149498626,0.5463185050136735,0.2269021739130435,0.7656606198723781,0.7550433910665445,0.1947463768115942,0.8970759799453041,0.9047688240656332,0.40398550724637683,0.5711050724637681,0.018568840579710144,-0.021580615942029
from_below,2267.0,0.2090868989854433,0.22915991130820357,0.22454851441241733,0.28098808998676666,0.49716430155210556,0.5247405764966748,0.2373180414644905,0.680530554323724,0.7157735698447895,0.20335244816938686,0.8150817738359185,0.851162971175166,0.40846934274371416,0.5655050727834142,0.020732245258050286,-0.018835465372739297
first_touch_tier_1,369.0,0.25203252032520324,0.29191416893733074,0.3003760217983622,0.23035230352303523,0.615549318801094,0.6611719346048995,0.2005420054200542,0.8712803814713915,0.8814051771117114,0.1842818428184282,1.0403858310626715,1.0252419618528574,0.3821138211382114,0.6124661246612466,0.0,-0.03848238482384825
