ticker,grid,window,flavor,bucket,n,hit,fp_hit,fp_exp,mfe_mean,mae_mean,base_hit,edge_pp
SPY,step_5.00,morning_0930_1115,approach_from_open,micro,144,0.2638888888888889,0.4375,-0.007638888888888899,0.7559548611111195,0.6778541666666626,0.2730054674536898,-0.009116578564800915
SPY,step_5.00,morning_0930_1115,approach_from_open,grind,117,0.19658119658119658,0.4358974358974359,-0.0017094017094017185,0.7100025641025625,0.7774034188034215,0.2730054674536898,-0.07642427087249323
SPY,step_5.00,morning_0930_1115,approach_from_open,small,153,0.20261437908496732,0.42483660130718953,-0.00980392156862745,0.8099647058823521,0.9167725490196091,0.2730054674536898,-0.07039108836872249
SPY,step_5.00,morning_0930_1115,approach_from_open,normal,121,0.19834710743801653,0.38016528925619836,-0.030578512396694225,0.9711408333333362,0.8686983333333345,0.2730054674536898,-0.07465836001567328
SPY,step_5.00,morning_0930_1115,approach_from_open,exhaustion,51,0.13725490196078433,0.35294117647058826,-0.05588235294117648,1.6199196078431286,1.4085627450980427,0.2730054674536898,-0.13575056549290548
SPY,step_5.00,morning_0930_1115,approach_swing,micro,66,0.3333333333333333,0.45454545454545453,0.003787878787878788,0.7667030303030379,0.564398484848476,0.2730054674536898,0.060327865879643505
SPY,step_5.00,morning_0930_1115,approach_swing,grind,109,0.1743119266055046,0.45871559633027525,0.011467889908256881,0.6953220183486295,0.703397247706421,0.2730054674536898,-0.09869354084818521
SPY,step_5.00,morning_0930_1115,approach_swing,small,204,0.21568627450980393,0.37745098039215685,-0.03382352941176472,0.6909882352941187,0.7699789215686305,0.2730054674536898,-0.05731919294388588
SPY,step_5.00,morning_0930_1115,approach_swing,normal,152,0.21052631578947367,0.40131578947368424,-0.027631578947368417,1.058749999999999,0.9575914473684222,0.2730054674536898,-0.06247915166421614
SPY,step_5.00,morning_0930_1115,approach_swing,exhaustion,55,0.10909090909090909,0.45454545454545453,0.004545454545454545,1.6059462962962896,1.6363648148148178,0.2730054674536898,-0.16391455836278074
SPY,step_5.00,rth_0930_1600,approach_from_open,micro,152,0.27631578947368424,0.4473684210526316,-0.0023026315789473777,0.7438269736842189,0.6739263157894693,0.2916255382223985,-0.01530974874871427
SPY,step_5.00,rth_0930_1600,approach_from_open,grind,131,0.20610687022900764,0.4198473282442748,-0.007633587786259542,0.6799465648854952,0.773041221374047,0.2916255382223985,-0.08551866799339086
SPY,step_5.00,rth_0930_1600,approach_from_open,small,201,0.23383084577114427,0.4527363184079602,0.010199004975124382,0.7769820895522386,0.82060049751244,0.2916255382223985,-0.05779469245125424
SPY,step_5.00,rth_0930_1600,approach_from_open,normal,246,0.2601626016260163,0.4065040650406504,-0.021341463414634148,0.7885508130081336,0.7344117886178846,0.2916255382223985,-0.03146293659638222
SPY,step_5.00,rth_0930_1600,approach_from_open,exhaustion,182,0.24175824175824176,0.4230769230769231,-0.013186813186813199,1.0832945054945005,0.9503659340659371,0.2916255382223985,-0.049867296464156746
SPY,step_5.00,rth_0930_1600,approach_swing,micro,69,0.3188405797101449,0.43478260869565216,0.0,0.7393376811594284,0.5472217391304252,0.2916255382223985,0.027215041487746394
SPY,step_5.00,rth_0930_1600,approach_swing,grind,161,0.2360248447204969,0.4409937888198758,0.008074534161490688,0.5971248447205006,0.5925118012422343,0.2916255382223985,-0.05560069350190161
SPY,step_5.00,rth_0930_1600,approach_swing,small,348,0.3017241379310345,0.4367816091954023,-0.0018678160919540188,0.639283045977011,0.6217741379310355,0.2916255382223985,0.010098599708635969
SPY,step_5.00,rth_0930_1600,approach_swing,normal,242,0.19421487603305784,0.4214876033057851,-0.01818181818181819,0.9712975206611572,0.959416115702481,0.2916255382223985,-0.09741066218934066
SPY,step_5.00,rth_0930_1600,approach_swing,exhaustion,92,0.13043478260869565,0.391304347826087,-0.03478260869565219,1.5736445652173914,1.527923913043481,0.2916255382223985,-0.16119075561370286
SPY,step_1.00_t1_5,morning_0930_1115,approach_from_open,micro,725,0.22206896551724137,0.41517241379310343,-0.020965517241379315,0.7207886896551755,0.7421380689655154,0.2730054674536898,-0.05093650193644844
SPY,step_1.00_t1_5,morning_0930_1115,approach_from_open,grind,579,0.2469775474956822,0.4317789291882556,-0.006044905008635579,0.7910390328151989,0.7341309153713326,0.2730054674536898,-0.0260279199580076
SPY,step_1.00_t1_5,morning_0930_1115,approach_from_open,small,739,0.2219215155615697,0.4167794316644114,-0.013328822733423557,0.795096879240165,0.825551289009499,0.2730054674536898,-0.051083951892120116
SPY,step_1.00_t1_5,morning_0930_1115,approach_from_open,normal,610,0.19344262295081968,0.3721311475409836,-0.03754098360655739,0.9077945454545492,0.9256355371900817,0.2730054674536898,-0.07956284450287013
SPY,step_1.00_t1_5,morning_0930_1115,approach_from_open,exhaustion,253,0.13043478260869565,0.37549407114624506,-0.040513833992094864,1.4784095617529893,1.591543824701194,0.2730054674536898,-0.14257068484499416
SPY,step_1.00_t1_5,morning_0930_1115,approach_swing,micro,365,0.23013698630136986,0.42191780821917807,-0.016575342465753436,0.6457539726027413,0.7083928767123245,0.2730054674536898,-0.04286848115231995
SPY,step_1.00_t1_5,morning_0930_1115,approach_swing,grind,506,0.23517786561264822,0.4268774703557312,-0.007806324110671942,0.6966252964426897,0.6954193675889331,0.2730054674536898,-0.037827601841041586
SPY,step_1.00_t1_5,morning_0930_1115,approach_swing,small,946,0.23784355179704017,0.3953488372093023,-0.0241014799154334,0.7216515376458134,0.7101486744432679,0.2730054674536898,-0.03516191565664964
SPY,step_1.00_t1_5,morning_0930_1115,approach_swing,normal,817,0.19706242350061198,0.40636474908200737,-0.023745410036719712,0.9509092250922544,0.9618487084870843,0.2730054674536898,-0.07594304395307783
SPY,step_1.00_t1_5,morning_0930_1115,approach_swing,exhaustion,272,0.11029411764705882,0.3860294117647059,-0.034926470588235295,1.6483966666666674,1.736782962962964,0.2730054674536898,-0.162711349806631
QQQ,step_5.00,morning_0930_1115,approach_from_open,micro,151,0.15894039735099338,0.39072847682119205,-0.035099337748344374,0.9495933774834441,1.122037748344366,0.2377396980824153,-0.07879930073142191
QQQ,step_5.00,morning_0930_1115,approach_from_open,grind,120,0.18333333333333332,0.35833333333333334,-0.05291666666666666,0.938196666666668,0.8911524999999998,0.2377396980824153,-0.054406364749081976
QQQ,step_5.00,morning_0930_1115,approach_from_open,small,176,0.19318181818181818,0.42045454545454547,-0.01732954545454546,1.0234085227272745,0.9387772727272728,0.2377396980824153,-0.04455787990059712
QQQ,step_5.00,morning_0930_1115,approach_from_open,normal,173,0.15606936416184972,0.36416184971098264,-0.046820809248554925,0.8813877906976731,1.1096406976744184,0.2377396980824153,-0.08167033392056558
QQQ,step_5.00,morning_0930_1115,approach_from_open,exhaustion,93,0.17204301075268819,0.40860215053763443,-0.019892473118279567,1.3314391304347792,1.224464130434784,0.2377396980824153,-0.06569668732972711
QQQ,step_5.00,morning_0930_1115,approach_swing,micro,65,0.18461538461538463,0.35384615384615387,-0.05538461538461539,0.9378723076923052,1.075616923076923,0.2377396980824153,-0.05312431346703067
QQQ,step_5.00,morning_0930_1115,approach_swing,grind,111,0.12612612612612611,0.3783783783783784,-0.039639639639639644,0.9352180180180208,1.001290990990988,0.2377396980824153,-0.11161357195628918
QQQ,step_5.00,morning_0930_1115,approach_swing,small,194,0.22164948453608246,0.4020618556701031,-0.02500000000000001,0.8311290155440423,0.8935077720207218,0.2377396980824153,-0.016090213546332832
QQQ,step_5.00,morning_0930_1115,approach_swing,normal,239,0.17154811715481172,0.3807531380753138,-0.03953974895397489,0.9315260504201676,1.0168323529411787,0.2377396980824153,-0.06619158092760358
QQQ,step_5.00,morning_0930_1115,approach_swing,exhaustion,104,0.125,0.41346153846153844,-0.022596153846153842,1.5702038461538446,1.4383480769230756,0.2377396980824153,-0.1127396980824153
QQQ,step_10.00,morning_0930_1115,approach_from_open,micro,81,0.16049382716049382,0.3950617283950617,-0.03271604938271605,1.1144703703703727,1.0900987654320924,0.2377396980824153,-0.07724587092192148
QQQ,step_10.00,morning_0930_1115,approach_from_open,grind,53,0.22641509433962265,0.33962264150943394,-0.06320754716981133,0.9625754716981165,0.8231735849056571,0.2377396980824153,-0.01132460374279265
QQQ,step_10.00,morning_0930_1115,approach_from_open,small,90,0.2,0.43333333333333335,-0.011666666666666674,1.063776666666667,0.9840877777777722,0.2377396980824153,-0.037739698082415285
QQQ,step_10.00,morning_0930_1115,approach_from_open,normal,100,0.19,0.38,-0.0385,0.7979252525252525,1.0033949494949488,0.2377396980824153,-0.047739698082415294
QQQ,step_10.00,morning_0930_1115,approach_from_open,exhaustion,44,0.13636363636363635,0.3181818181818182,-0.075,1.4954204545454544,1.2825818181818158,0.2377396980824153,-0.10137606171877894
QQQ,step_10.00,morning_0930_1115,approach_swing,micro,33,0.18181818181818182,0.36363636363636365,-0.05000000000000001,1.1859848484848499,1.0342363636363598,0.2377396980824153,-0.05592151626423347
QQQ,step_10.00,morning_0930_1115,approach_swing,grind,49,0.10204081632653061,0.32653061224489793,-0.07040816326530612,0.9926367346938814,1.004008163265301,0.2377396980824153,-0.13569888175588468
QQQ,step_10.00,morning_0930_1115,approach_swing,small,114,0.2543859649122807,0.43859649122807015,-0.006578947368421052,0.9100141592920352,0.8332592920353916,0.2377396980824153,0.01664626682986542
QQQ,step_10.00,morning_0930_1115,approach_swing,normal,120,0.18333333333333332,0.39166666666666666,-0.034583333333333334,0.9031708333333351,1.060440833333334,0.2377396980824153,-0.054406364749081976
QQQ,step_10.00,morning_0930_1115,approach_swing,exhaustion,52,0.11538461538461539,0.3076923076923077,-0.08076923076923077,1.5929384615384607,1.375507692307686,0.2377396980824153,-0.1223550826977999
