horizon,n,mean_max_up,mean_max_dn,p_up_ge_target,p_dn_ge_target,p_up_ge_target_no_stop,p_dn_ge_target_no_stop
1,316377,0.12776419544720363,0.12812409320841917,0.08722821191173821,0.09537355749627817,0.07776797934110255,0.08603975636661325
5,313109,0.29214302132164827,0.2990596001296674,0.3285597028510838,0.33730745523124533,0.23977273090201814,0.24809251730228132
10,309024,0.4123977301536449,0.4270487562034019,0.4684166925546236,0.4708663404784094,0.28665087501294395,0.2884856839598219
15,304939,0.5024144148928146,0.5247665183430131,0.5483686901314689,0.5472373163157221,0.29162553822239856,0.28920538206001856
